sampling_mode	purpose	sample_group	process_family	selection_rank_within_group	available_file_count_in_group	selected_file_count_in_group	remote_path	remote_size_bytes	remote_adler32	identity_status	deterministic_rank_sha256	target_valid_events_per_file	physical_weight_status
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	1	8	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id3500-3999.root	1756662477	ad8fb471	complete	3611e14c6ca6d738b4f0ceddcb9f214d5a0479d19a24115e5648937c4e3d8c64	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	2	8	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	1763435733	c5d36b3f	complete	69d527806eb81b1d02132a6d5fd69d607ad0301410f73f407d99a6df91dac8c1	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	3	8	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id1500-1999.root	1759641298	c4f282a4	complete	abf53f307161cbb1916774d045e68fd48ab81ce13e705fae1e64e2ba923414b2	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	4	8	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2500-2999.root	1749925223	cc5209ec	complete	b02aeaddb3bf33abaeae863edfeb40e044e51d9afffeb5a0e73400e2134e5665	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZW_ntuple	other	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZW_ntuple/selected_ntuples_0000.root	971051797	58aeacd3	complete	7b5211fb6a74120aaaa75aa0177f8e7b398901a11b012473035e5d0783a82238	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZZ_ntuple	zz	1	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0000.root	1122900950	5acf887b	complete	8d2519d616257a9ddb039a3877a5e88c511642dce1535477270df8290b69883a	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZZ_ntuple	zz	2	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0001.root	690055895	4cfd4cfc	complete	9bb84b8585f068ef03b9d007c5aa9438ba4317ea72fb44264df45bd827094908	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ttH_ntuple	ttH	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	1205040432	3f4953b6	complete	150cc11b058927aaa733bccff29462354a6461d9a92c91af87340b4a20a1d146	256	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	1	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid234.root	973933528	8a9aa949	complete	000b6329906c4b51fc98d3bf355055a4a53ae94b0862f863b61ccb30016b14b3	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	2	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid162.root	972050376	0fc6bbb3	complete	0016f449a4edb94ecaf34a93f523152afdf0e2767f10ca7f6922dcc4d7083260	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	3	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid33.root	970477769	089e15e8	complete	0045fb8dfc8aa85d5ffe84f230d865031e3772a3f95695386177ca4994ac02aa	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	4	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid177.root	975828638	1e6c7ece	complete	010f528bac80e11d76172209009983eb042d052560ccaf29a6f018b326a1aec5	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	5	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid45.root	968879293	001ba639	complete	01101019cb0ba6e03116b70e0b4b497a6a89e332616a8366830c77a6e7102a7e	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	6	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid259.root	973068989	89ef9145	complete	01537c7135db84455f3bc847be65ddbe1cc7bc534c21557ca0a51f1032f7f843	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	7	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid145.root	978240553	f7982957	complete	0184c58f6f16ffb1f69aa82cd7c2c678373129c78f8f7905fd2dd43cfc1cd69a	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	8	381	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid123.root	969651795	960fc7ac	complete	020e0d311f8a29e75da9263ea13701078f5db364650ccd10c046d29d6f7912f4	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	1	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid1.root	969674887	f6ebd6b5	complete	071c1bce4d308f11bd799a13573628f33fb786415c04c65abae41f967805176f	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	2	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid62.root	970883574	a635adbc	complete	093e33be70afea78e7cb9197a8c005fabb164c7cd522089b5f16e33de27f9ae2	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	3	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	complete	0953011dd991bca4b7f746ecf71741f0d7af92f7ad8d5287f0e61a9991c47f22	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	4	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid35.root	966455560	1646496e	complete	0aa02096b1c9b569ef3d5348a5dc5192a1c00f3d6492792d48901f455b8e7f4f	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	5	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid98.root	967341166	bbb92d1e	complete	0c0ec5ecd46a92d314a641c6cd2475bb1c6d068e1b30fdee93d50b921dec9587	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	6	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid153.root	967958463	63888c12	complete	0c328c91f411811be0f2e03ba5d8f0571a98257c8af028b96272a0e2b3ae0988	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	7	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid125.root	976197583	1d36d41d	complete	1505b72763207055577f5ba1eb999d358d8f536b2f9c08555cdef534a326bcde	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	8	176	8	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid172.root	972472943	84ca1212	complete	154d8fdda398e510427f632b9f26f8f0caaaca540d6680a56c6f19ca474cd55a	512	blocked_pending_author_clarification
high_score_tail_stability_v1	Deeper multifile coverage of QCD, ttbar, Z+jets, and ZZ for unweighted high-score-tail stability.	TTbarW_ntuple	ttbar	1	2	2	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarW_ntuple/selected_ntuples_0001.root	599288170	bd9f58f6	complete	27e86d0dbd23b193fb8fd957f333e9b249779ffa2fbce0aa61b2cd010cc7231e	512	blocked_pending_author_clarification
