qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,mode
0.625,0.65,74.23906664905911,392830.8046773752,0.0001889848396946118,0.11844854625427041,0.001889848396946118,105,687,60.13928885528184,124.33122396542672,lbn_p4_plus_topology
0.775,0.5,64.89959949323207,300651.45959580265,0.00021586324437101827,0.11836147221536562,0.0021586324437101825,95,532,52.789983376228165,95.47733189029867,lbn_p4_plus_topology
0.85,0.5,52.25104817761638,196091.51237461946,0.00026646256915900733,0.11799554457121984,0.0026646256915900737,74,401,42.333953387474835,137.06229257817535,lbn_p4_plus_topology
0.825,0.6,55.00938525586001,217383.01218397066,0.00025305282461219057,0.11798423758780477,0.002530528246121905,78,444,44.575049407843345,154.9577810333836,lbn_p4_plus_topology
0.625,0.625,74.23906664905911,396841.3776875608,0.00018707491411721852,0.11784849179143192,0.001870749141172185,105,692,60.13928885528184,125.59920206030411,lbn_p4_plus_topology
0.875,0.65,46.734374021129085,157414.75906378316,0.0002968868630811975,0.11779143305519475,0.002968868630811975,66,331,37.85176728600891,110.5671040099825,lbn_p4_plus_topology
0.8,0.5,60.76209387586663,266275.75167580985,0.00022819236634751613,0.11775162837839621,0.002281923663475161,89,492,49.42831874397415,98.26137443248489,lbn_p4_plus_topology
0.525,0.775,66.43612434136679,383816.9054831554,0.00017309327283991267,0.10723640332017186,0.0017309327283991265,99,663,54.15859790867551,142.11839090446307,lbn_p4_plus_topology_btag
0.525,0.75,66.43612434136679,385535.85020178894,0.00017232152160841647,0.10699707489586004,0.0017232152160841648,99,667,54.15859790867551,143.23829128466858,lbn_p4_plus_topology_btag
0.525,0.725,66.43612434136679,387433.4812925273,0.0001714774988463244,0.10673471991391081,0.001714774988463244,99,673,54.15859790867551,144.49253613652374,lbn_p4_plus_topology_btag
0.525,0.7,66.51480249587323,389482.11845825776,0.00017077755137814333,0.1065797124252362,0.0017077755137814335,100,681,54.28282726458198,145.86259770805515,lbn_p4_plus_topology_btag
0.5,0.775,66.59348065037966,391201.6437184979,0.00017022801851594266,0.10647101134672243,0.0017022801851594267,101,692,54.407189641906065,147.06208926114002,lbn_p4_plus_topology_btag
0.5,0.75,66.59348065037966,393023.9729824824,0.00016943872442444578,0.10622388816261782,0.0016943872442444577,101,697,54.407189641906065,148.2731032481251,lbn_p4_plus_topology_btag
