qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.55,0.6,151.028050785124,797517.7081546845,0.00018937266124732994,0.1691170715811264,0.0018937266124732994,224,752,118.33240543619245,253.92880578439394
0.55,0.625,142.76148657024794,752124.1374881984,0.00018981106901716478,0.1646138219603031,0.0018981106901716476,216,706,112.12407441881861,232.82296410308382
0.55,0.65,135.54442392561987,697829.9883433458,0.0001942370293477978,0.1622582701989978,0.001942370293477978,205,663,106.45074708635856,210.85511031870368
0.55,0.675,128.3273612809917,647281.7593912171,0.00019825579729249043,0.15950436773080692,0.001982557972924904,194,613,100.77742029463955,203.47791037161338
0.55,0.7,117.28002495867771,621896.4002426794,0.00018858450525346688,0.14871851089540428,0.0018858450525346686,183,577,92.46341352539403,190.54457877478146
0.55,0.725,108.86195652892562,576263.7723920179,0.0001889099432314644,0.1434053905121613,0.0018890994323146437,173,529,86.02675122837492,170.3069414349466
0.55,0.75,97.13285123966942,517477.0539393274,0.00018770465376240228,0.13502699067555743,0.0018770465376240226,153,482,76.67103197041072,159.90640376968824
0.55,0.775,86.00976280991733,454691.9882683753,0.0001891604977195053,0.12755253639916597,0.001891604977195053,141,418,68.24536815730097,132.61713940415063
0.55,0.8,78.26243541322316,398236.906226185,0.00019652230667132787,0.12401739528438109,0.0019652230667132784,123,362,61.75820573749648,108.86864310872886
0.55,0.825,65.332324338843,327174.7792900886,0.00019968630980848393,0.11421895971525288,0.0019968630980848395,104,301,51.63928134548443,91.44991912604004
0.55,0.85,49.92444958677685,228128.71420795453,0.00021884333920922988,0.10452575403101909,0.0021884333920922988,86,243,39.883021531402505,105.36524262961296
0.55,0.875,40.90036429752065,165248.56496713884,0.00024750813603527545,0.10061397979626423,0.002475081360352754,68,172,32.5142295012234,67.76548883754025
0.55,0.9,22.408709008264463,91139.91218460255,0.000245871522927035,0.07422710698047413,0.00245871522927035,43,98,18.193899227229373,67.57942685247377
0.55,0.925,13.914888471074377,43120.5239388615,0.0003226975741483017,0.06700970641750247,0.0032269757414830165,32,50,11.667243661748529,34.16209093730415
0.55,0.95,0.8332731818181819,9427.560242578074,8.838693791155386e-05,0.008581984909374205,0.0008838693791155386,11,13,11.000000000000004,7.623065539047208
0.575,0.5,173.27422764462813,926864.8452874057,0.000186946595855514,0.17998062953456026,0.0018694659585551396,248,845,135.19917275637337,306.1853662532854
0.575,0.525,163.80665764462813,898538.9758877568,0.00018230334135788278,0.17280769955439626,0.0018230334135788278,241,818,128.221898453749,294.1619409881209
0.575,0.55,155.38858921487605,852960.6586232866,0.0001821755641880126,0.1682498258798486,0.0018217556418801256,231,782,121.78245016775502,274.15520950827965
0.575,0.575,148.323030785124,797879.0104056521,0.00018589664454227793,0.16605045537816374,0.001858966445422779,222,741,116.33967368151094,250.87331725981716
0.575,0.6,144.11399657024796,747751.9507672659,0.00019272968318220107,0.16665846783498492,0.0019272968318220106,217,695,113.12023749658927,228.952725035772
0.575,0.625,137.19994235537192,704453.8124847627,0.00019476073508841935,0.16346608708604057,0.0019476073508841935,210,652,107.90889124089128,209.4503081807827
0.575,0.65,131.3353897107438,653598.630989382,0.00020094195961202588,0.16245242557403064,0.0020094195961202588,200,613,103.23153597025113,189.59067272581223
0.575,0.675,124.11832706611571,605988.0275956546,0.00020481976774124264,0.1594424251010797,0.0020481976774124264,189,567,97.55820389613856,183.00986801264906
0.575,0.7,113.07099074380163,585432.91551171,0.00019314081553643007,0.14777896794121273,0.0019314081553643005,178,536,89.24496151290722,172.8140153691637
0.575,0.725,104.65292231404959,540504.4406299101,0.0001936208372165932,0.14234811707785028,0.001936208372165932,168,490,82.80881282486367,153.45516826846563
