score_set	target_class	diagonal_target_cell	n_events	top1_exact_count	top3_count	top5_count	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_chebyshev_distance	mean_target_rank
model1	49	False	5	2	2	2	0.4	0.4	0.4	0.6	0.8	1.4	15.2
model1	50	False	5	0	1	1	0.0	0.2	0.2	0.2	0.2	5.8	49.4
model1	51	False	5	2	2	3	0.4	0.4	0.6	0.8	0.8	1.8	8.4
model1	52	False	5	2	2	3	0.4	0.4	0.6	0.6	0.8	1.2	21.8
model1	53	False	5	1	1	2	0.2	0.2	0.4	0.2	0.4	2.4	22.2
model1	54	False	5	0	1	3	0.0	0.2	0.6	0.8	1.0	1.2	6.6
model1	55	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	2.6	17.4
model1	56	False	5	0	0	2	0.0	0.0	0.4	0.4	0.4	5.0	34.4
model1	57	False	5	2	3	3	0.4	0.6	0.6	0.6	0.8	2.8	5.2
model1	58	True	15	2	6	6	0.13333333333333333	0.4	0.4	0.6666666666666666	0.7333333333333333	2.2666666666666666	17.2
model1	59	False	5	3	3	3	0.6	0.6	0.6	0.8	1.0	0.6	10.6
model1	60	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	4.4	39.2
model1	61	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	3.6	14.4
model1	62	False	5	2	4	4	0.4	0.8	0.8	1.0	1.0	0.6	3.4
model1	63	False	5	0	0	0	0.0	0.0	0.0	0.2	0.4	3.0	35.4
model1	64	False	5	0	0	2	0.0	0.0	0.4	0.4	0.8	2.2	14.0
model1	65	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	3.4	36.6
model1	66	False	5	1	1	2	0.2	0.2	0.4	0.6	0.6	1.6	16.6
model1	67	False	5	0	0	1	0.0	0.0	0.2	0.2	0.4	4.2	33.0
model1	68	False	5	1	3	4	0.2	0.6	0.8	0.8	0.8	1.8	22.0
model1	69	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	2.4	5.6
model1	70	True	15	1	5	7	0.06666666666666667	0.3333333333333333	0.4666666666666667	0.6	0.7333333333333333	2.8	21.4
model1	71	False	5	3	4	4	0.6	0.8	0.8	0.8	0.8	1.6	11.0
model1	72	False	5	0	0	1	0.0	0.0	0.2	0.6	0.8	2.6	7.4
model1	73	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	2.2	13.8
model1	74	False	5	1	2	2	0.2	0.4	0.4	0.6	0.6	2.4	15.0
model1	75	False	5	1	1	1	0.2	0.2	0.2	0.6	0.6	2.0	32.6
model1	76	False	5	1	2	3	0.2	0.4	0.6	0.6	0.8	1.6	7.8
model1	77	False	5	1	1	1	0.2	0.2	0.2	0.2	0.2	3.8	39.0
model1	78	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	28.0
model1	79	False	5	1	2	2	0.2	0.4	0.4	0.6	0.6	3.0	17.4
model1	80	False	5	1	4	4	0.2	0.8	0.8	0.8	0.8	2.4	8.6
model1	81	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.4	0.5333333333333333	3.2	35.733333333333334
model1	82	False	5	1	2	3	0.2	0.4	0.6	0.8	1.0	1.0	4.2
