seed,auc_all,auc_vs_ttbar,auc_vs_qcd_bbbb,auc_vs_zbbbb,threshold,selected_signal_rows,selected_background_rows,selected_ttbar_rows,selected_qcd_bbbb_rows,selected_zbbbb_rows,S_over_sqrtB_rows,S_over_B_rows
75,0.743295613843042,0.6249796714912994,0.7634437541342949,0.7389946397670197,0.78,137,54,12,27,15,18.643338597849745,2.537037037037037
76,0.7684286885969069,0.6578896790313281,0.7921221758431061,0.7526591268293685,0.8,122,39,9,13,17,19.53563476422063,3.128205128205128
77,0.7655744025932013,0.6368253505382615,0.7835590226670592,0.7652872506664217,0.685,216,110,18,44,48,20.594791927704794,1.9636363636363636
78,0.7768396012168702,0.6331131078224101,0.7921538912483551,0.7789198826165158,0.795,130,32,8,18,6,22.980970388562792,4.0625
79,0.726557113495038,0.6590605331583679,0.7450343428498154,0.7159034681300886,0.7000000000000001,164,91,10,44,37,17.19187132223946,1.8021978021978022
80,0.782500792403384,0.6695582049214271,0.8067132867132867,0.7737573000529508,0.735,168,62,7,24,31,21.336021336032005,2.7096774193548385
81,0.7576732422532358,0.6466359905484393,0.7804311374967907,0.7470803460677313,0.62,220,147,21,63,63,18.145294174531095,1.4965986394557824
82,0.766896164114093,0.692021325489475,0.7836354639917232,0.7593116527795051,0.8,120,29,6,12,11,22.283440581246225,4.137931034482759
83,0.7844564766314523,0.6983249308830703,0.8052898698387632,0.7733332810348817,0.65,224,102,14,43,45,22.179304962677506,2.196078431372549
84,0.7627642297675725,0.6379140239605355,0.7823316681181989,0.7599674625800485,0.755,148,55,14,20,21,19.956315928911966,2.690909090909091
85,0.757785975930543,0.6340221418991112,0.7792443606397095,0.7525873821896427,0.655,215,117,23,52,42,19.876757031404043,1.8376068376068375
86,0.761285621391297,0.6727923239551147,0.7810438003789656,0.7482402209747839,0.6900000000000001,172,79,13,37,29,19.35151189592761,2.1772151898734178
87,0.7708957589263832,0.6408782593375617,0.8017514624839679,0.7561584403211011,0.795,120,38,10,15,13,19.466570535691506,3.1578947368421053
88,0.747306645405204,0.6334326350182587,0.7686927151107652,0.7392147952026239,0.6950000000000001,184,92,17,41,34,19.18332609325088,2.0
89,0.755485555384912,0.5672166559426417,0.7815184918747584,0.7551085657649159,0.74,176,90,26,36,28,18.55202893965449,1.9555555555555555
90,0.7389839591413941,0.6437513361997291,0.7625692445664667,0.7264377853356621,0.765,139,55,7,22,26,18.74275617647813,2.5272727272727273
91,0.7555770493838859,0.6503306194053349,0.7759984734396675,0.7468898191588824,0.68,194,115,16,53,46,18.090593279862087,1.6869565217391305
92,0.77959095647173,0.6921048443929164,0.8089487884455594,0.7589071873805419,0.61,244,163,19,60,84,19.11155497970616,1.4969325153374233
93,0.7699612130797207,0.6627906976744186,0.7906944118184429,0.7624282694050136,0.615,236,149,21,67,61,19.333873324249357,1.5838926174496644
94,0.7478376373635351,0.6179330928988932,0.7796122392120228,0.731077474397613,0.755,149,46,11,17,18,21.968851467079674,3.239130434782609
95,0.7777120618499432,0.6580616445977523,0.80447487592854,0.7658867484773683,0.755,155,57,16,19,22,20.530251534508178,2.719298245614035
96,0.7500825079812176,0.5989262892842719,0.7819216545416222,0.736040866067848,0.62,226,171,28,71,72,17.28265195158232,1.3216374269005848
97,0.7642019926085919,0.6924031007751938,0.7894512637657378,0.7431963554723754,0.765,130,47,6,16,25,18.962448894726293,2.765957446808511
98,0.7683028843483176,0.6621828752642707,0.7906133576498731,0.7559852126566431,0.76,141,46,9,14,23,20.789315817840496,3.0652173913043477
99,0.7534007992654339,0.6381689906644179,0.7718089827800463,0.7501249279261964,0.7000000000000001,180,94,20,36,38,18.56558243265828,1.9148936170212767
100,0.7493325839539131,0.6407681465821001,0.7830156706421575,0.7260118469420795,0.805,116,28,5,10,13,21.92193943453518,4.142857142857143
101,0.7581225431410544,0.6456439965953709,0.779831628668838,0.7476009408225675,0.79,114,33,7,20,6,19.844852778949555,3.4545454545454546
