process,event_uid,score,u,n_selected_jets,HT,mHH,pT_H1,pT_H2,pt5
signal,signal|117|88,1.0,inf,5,470.2899475097656,677.2376611958673,148.2117235660012,162.01325493802477,31.99455451965332
signal,signal|116|1337,1.0,inf,5,379.6412658691406,383.29868181529616,147.2949315796299,34.209648052659176,39.16408920288086
signal,signal|46|83,1.0,inf,5,533.4559936523438,802.2337693060545,150.92065428059766,112.70830841560374,32.43569564819336
signal,signal|116|1305,1.0,inf,5,342.0924987792969,342.8596748695154,88.64651070440722,51.64618803064959,40.62548828125
signal,signal|6|2397,1.0,inf,5,687.64892578125,796.404851713037,187.06868298667112,267.6511555814741,53.30097198486328
signal,signal|61|1345,0.9999998807907104,6.923689900271567,4,365.6599426269531,382.92721060048285,106.28377720186722,107.66301900915356,0.0
signal,signal|168|834,0.9999998807907104,6.923689900271567,5,383.4678039550781,878.1649805121347,128.07727406347144,71.95365702597623,38.540863037109375
signal,signal|47|2320,0.9999998807907104,6.923689900271567,5,432.49993896484375,1097.5694458930361,95.3634450504404,98.50903580096214,34.05281448364258
signal,signal|43|284,0.9999998807907104,6.923689900271567,5,448.42822265625,455.0814264575671,181.2423724029121,199.51439821073737,49.56284713745117
signal,signal|60|1764,0.9999998807907104,6.923689900271567,4,432.0830078125,438.7642038003078,224.93366942700152,171.3785543380177,0.0
signal,signal|48|209,0.9999998807907104,6.923689900271567,6,435.3082580566406,437.6483764260982,208.19938293118096,131.88970645157332,51.82687759399414
signal,signal|43|688,0.9999998807907104,6.923689900271567,5,470.93597412109375,482.58425514046587,195.35106510390358,151.4489358467019,32.17121124267578
signal,signal|54|530,0.9999998807907104,6.923689900271567,5,397.7220458984375,425.6749344599877,170.51013022218265,131.48915987904408,36.02922058105469
signal,signal|182|1603,0.9999998807907104,6.923689900271567,5,331.2044677734375,365.81734244490247,137.94984872730885,82.92959953207375,47.99052810668945
signal,signal|177|2323,0.9999998807907104,6.923689900271567,4,480.85986328125,509.73981440922864,181.92930202682763,159.84909801082415,0.0
signal,signal|168|472,0.9999998807907104,6.923689900271567,5,514.8148803710938,600.889761496185,208.2993122212494,163.24764519829594,35.11426544189453
signal,signal|62|521,0.9999998807907104,6.923689900271567,6,552.38134765625,557.7024070195615,159.07828290323286,156.21810024778398,64.65409088134766
signal,signal|32|656,0.9999998807907104,6.923689900271567,5,542.8106689453125,523.5016785928942,262.31453589002473,102.82490313671381,31.097415924072266
signal,signal|33|739,0.9999998807907104,6.923689900271567,5,449.7162170410156,564.9384624779954,152.32063476213725,171.4291332963232,44.2813720703125
signal,signal|182|1717,0.9999998807907104,6.923689900271567,5,480.1459045410156,474.46059224880787,148.15351778285833,185.95366871509393,32.17447280883789
signal,signal|177|1085,0.9999998807907104,6.923689900271567,4,513.8444213867188,606.7373767939386,190.7165276965704,188.99430627761484,0.0
signal,signal|30|2561,0.9999998807907104,6.923689900271567,7,512.0137329101562,486.7754347288255,172.6990564290807,92.03830994752917,39.58241653442383
signal,signal|176|2233,0.9999998807907104,6.923689900271567,5,579.7579345703125,617.4065502104191,186.41741333546236,165.19910001103213,44.59345245361328
signal,signal|30|2508,0.9999998807907104,6.923689900271567,5,481.4317321777344,498.81326687338196,229.77683627207293,192.21093688388055,59.06523513793945
signal,signal|45|862,0.9999998807907104,6.923689900271567,6,529.503662109375,778.0864790019831,176.9481946090021,153.25757403920247,51.23958206176758
signal,signal|30|1595,0.9999998807907104,6.923689900271567,6,558.89697265625,687.8241894073661,237.00655816515493,183.7004179287403,53.91735076904297
signal,signal|174|443,0.9999998807907104,6.923689900271567,5,590.5027465820312,588.6321484935152,272.673248961453,267.3478857487005,31.08750343322754
signal,signal|173|1768,0.9999998807907104,6.923689900271567,5,332.6484680175781,461.2814971699771,140.6172166005878,130.37592908983052,43.553932189941406
signal,signal|182|502,0.9999998807907104,6.923689900271567,7,570.5923461914062,869.2907305569075,187.44012336017158,207.01919418155302,45.14271926879883
signal,signal|58|1344,0.9999998807907104,6.923689900271567,6,432.2939147949219,430.94433687643055,180.92986744326487,84.66753989237411,31.30224609375
signal,signal|180|874,0.9999998807907104,6.923689900271567,5,532.7808227539062,588.6537238579845,219.628402498255,120.05046155633079,42.21281051635742
signal,signal|180|1600,0.9999998807907104,6.923689900271567,4,500.8028259277344,523.3204666061282,254.18382175031536,231.20740505486165,0.0
signal,signal|172|157,0.9999998807907104,6.923689900271567,5,460.3746032714844,618.2016319753401,121.39652349302261,23.947337744284283,37.24237823486328
signal,signal|172|566,0.9999998807907104,6.923689900271567,6,444.6981201171875,420.06708695519416,209.4241802192925,163.98119804842423,32.94706344604492
signal,signal|171|1370,0.9999998807907104,6.923689900271567,5,489.6329650878906,739.6400668142355,221.85400308239056,174.59090295541407,52.049285888671875
signal,signal|56|968,0.9999998807907104,6.923689900271567,6,358.6312561035156,303.164554023231,81.45338255046441,87.93332728966713,35.89335250854492
signal,signal|38|2196,0.9999998807907104,6.923689900271567,5,536.2645263671875,732.686396105659,117.43654943945454,151.94896048186686,45.282466888427734
signal,signal|53|373,0.9999998807907104,6.923689900271567,5,640.4456787109375,813.1770944810198,245.344075512128,258.8982552057052,44.45226287841797
signal,signal|170|5,0.9999998807907104,6.923689900271567,5,533.3106689453125,504.5603556340501,239.7775094717702,188.87611145211108,35.34340286254883
signal,signal|46|574,0.9999998807907104,6.923689900271567,5,464.70751953125,470.97263530470354,116.32568803252761,143.46990842345457,62.19126892089844
signal,signal|171|814,0.9999998807907104,6.923689900271567,6,830.4521484375,1229.781770209549,368.6092176374427,354.6630652582413,36.2702522277832
signal,signal|58|768,0.9999998807907104,6.923689900271567,5,524.96142578125,494.97598645640346,239.500982544871,159.2833731373556,33.156986236572266
signal,signal|39|49,0.9999998807907104,6.923689900271567,5,488.0499267578125,620.5489779923136,120.29870989423245,103.7384594763518,63.19729232788086
signal,signal|39|1234,0.9999998807907104,6.923689900271567,5,416.2075500488281,399.112013786312,214.55629155363445,148.82486133623956,32.49428939819336
signal,signal|40|1547,0.9999998807907104,6.923689900271567,5,367.6289367675781,367.2495015421932,100.78117387053751,142.35068967829608,30.802030563354492
signal,signal|59|1504,0.9999998807907104,6.923689900271567,5,346.1685485839844,855.6417275451142,64.23023434705192,110.42016612126095,42.98152542114258
signal,signal|42|516,0.9999998807907104,6.923689900271567,5,360.06329345703125,355.049424644602,100.16183856343685,134.90254039294166,37.423133850097656
signal,signal|171|357,0.9999998807907104,6.923689900271567,5,448.3258056640625,675.147076307925,54.091571971595044,93.00002290599885,44.205387115478516
signal,signal|181|48,0.9999998807907104,6.923689900271567,5,420.05902099609375,475.5493217083432,83.56903352213021,94.86142072553422,38.096702575683594
signal,signal|42|824,0.9999998807907104,6.923689900271567,5,486.29058837890625,585.5661983731369,126.5480328496596,135.68415360322993,68.478271484375
signal,signal|169|1883,0.9999998807907104,6.923689900271567,7,516.142578125,924.0686139634422,213.408702960153,156.86641263203836,39.22673797607422
signal,signal|59|562,0.9999998807907104,6.923689900271567,6,414.62847900390625,482.2222131233699,124.30520559361665,68.7789750958484,39.13529968261719
signal,signal|173|1389,0.9999998807907104,6.923689900271567,7,462.25067138671875,364.7215224074496,72.34219667536242,40.96055090700568,53.8377685546875
signal,signal|41|1781,0.9999998807907104,6.923689900271567,5,390.1839904785156,675.8510473502523,87.18390966565653,147.56479637377748,33.17266845703125
signal,signal|50|100,0.9999998807907104,6.923689900271567,4,525.18505859375,577.7628212584732,234.02137222243167,240.63473873819245,0.0
signal,signal|180|719,0.9999998807907104,6.923689900271567,6,429.1277770996094,407.32396438768933,147.06667818309108,84.3335216889443,36.630348205566406
