score_threshold	epsilon_S	epsilon_B	rejection	raw_signal_rows	raw_background_rows	physical_S	physical_B	physical_QCD_B	physical_nonQCD_B	physical_background_efficiency	S_over_B	S_over_sqrt_B_diagnostic	ZA_stat_only	signal_sumw	signal_sumw2	signal_Neff	background_sumw	background_sumw2	background_Neff	qcd_raw_rows	qcd_sumw	qcd_sumw2	qcd_Neff	qcd_largest_abs_event_weight	qcd_largest_event_fraction_of_yield	qcd_largest_source_fraction_of_yield	QCD_Neff_below_100	QCD_raw_O_1_to_10	zero_QCD_rows_not_zero_physical_QCD	variant	target_epsilon_S	epsilon_S_over_sqrt_epsilon_B
0.6545056700706482	0.5099958074979589	0.13117081109818768	7.6236473010100685	46225	124843	365.40036862628074	493770951.2368537	485290143.4353664	8480807.801487327	0.00792639880291337	7.400199783137997e-07	0.016443952470944285	0.01644395044362672	365.40036862628074	4.672715307311247	28573.842104891653	493770951.2368537	329739774264978.2	739.400494917008	2989	485290143.4353664	329738807367283.6	714.2214323993617	1894967.6856186804	0.0039048138752710163	0.03560719363679401	False	False	False	global_mass_aware	0.51	1.4081470312885345
0.6490240097045898	0.5200026478960259	0.13719229342722264	7.289039165530657	47132	130574	373.1806476218615	527096718.7359176	518178564.5184126	8918154.217505038	0.008461370175670453	7.079927352172153e-07	0.016254512833054503	0.016254510916498984	373.1806476218615	4.774392554244218	29168.903515416383	527096718.7359176	353934316081509.06	784.978845730766	3172	518178564.5184126	353933299295738.5	758.643013417064	1894967.6856186804	0.0036569781449370354	0.03615541849096576	False	False	False	global_mass_aware	0.52	1.403914620998424
0.6437066197395325	0.5299984553939848	0.14313392360881275	6.986463968758487	48038	136229	381.18285293562104	558992315.7822535	549630803.9258924	9361511.85636115	0.008973383329974079	6.81910720726445e-07	0.016122427669984812	0.016122425837357998	381.18285293562104	4.879736641437233	29776.27237877818	558992315.7822535	374258674692249.7	834.9102645664806	3329	549630803.9258924	374257607013494.0	807.1820451022405	1894967.6856186804	0.0034477101212001615	0.037395813951382924	False	False	False	global_mass_aware	0.53	1.4008876793043046
0.637932538986206	0.5400052957920519	0.14983519987727986	6.673999172551137	48945	142607	388.7155275172145	595500817.2746311	585638202.7129445	9862614.561686635	0.009559446446486845	6.527539782333296e-07	0.015929080544335544	0.015929078813197366	388.7155275172145	4.977366307299977	30357.37215309595	595500817.2746311	404571628009955.44	876.5350776550928	3523	585638202.7129445	404570502612113.7	847.7437239305508	1894967.6856186804	0.0032357309971247127	0.035717746682391194	False	False	False	global_mass_aware	0.54	1.3950542392838354
0.6322516202926636	0.5500011032900108	0.15645031988139854	6.3918054035177265	49851	148903	396.544269691957	638176022.9797845	627826882.8651307	10349140.114653826	0.010244502338430458	6.213713073086081e-07	0.015697172715627122	0.015697171089732884	396.544269691957	5.079875733608149	30954.961513170212	638176022.9797845	438704290881573.7	928.3443193315718	3737	627826882.8651307	438703109943890.3	898.48142380062	1894967.6856186804	0.0030182965039197854	0.03563533249135878	False	False	False	global_mass_aware	0.55	1.3905138948563047
0.6266764402389526	0.5599969107879698	0.1631358358576068	6.129861012713666	50757	155266	404.5826021979928	676088803.4194692	665233820.3578172	10854983.061652064	0.01085310804263294	5.984163620987753e-07	0.015559847331377606	0.015559845778431293	404.5826021979928	5.185794300629828	31564.51500234382	676088803.4194692	464926989859513.75	983.1566677754925	3938	665233820.3578172	464925750632920.8	951.8423858979971	1894967.6856186804	0.002848573881284947	0.03499864742529848	False	False	False	global_mass_aware	0.56	1.3864714944174923
0.6210828423500061	0.5700037511860367	0.16975410792017728	5.890873642187355	51664	161565	412.55125027560075	710392591.4029913	699046058.2074782	11346533.19551313	0.011403779367721797	5.80736982998136e-07	0.01547849373864141	0.015478492234389865	412.55125027560075	5.290580804560748	32170.103886749377	710392591.4029913	487328838242822.6	1035.5587322513434	4170	699046058.2074782	487327542703880.5	1002.7452763784077	1894967.6856186804	0.0027107908890550533	0.03382619691925866	False	False	False	global_mass_aware	0.5700000000000001	1.3834630598174018
0.615188479423523	0.5799995586839957	0.17701329853460804	5.649293065992379	52570	168474	420.56683486062434	749331261.2178434	737445433.1771318	11885828.040711641	0.0120288534532555	5.61256224886577e-07	0.015363780590934331	0.01536377914766981	420.56683486062434	5.396153200175932	32778.250732191394	749331261.2178434	514050277653399.44	1092.300429447323	4440	737445433.1771318	514048920524311.44	1057.9260945808908	1899808.3429882333	0.002576201922904723	0.03403806063086563	False	False	False	global_mass_aware	0.5800000000000001	1.3785569612379975
0.6097680330276489	0.5899953661819546	0.1835947965819078	5.44677746111321	53476	174738	428.6422253137045	795327341.0904571	782951158.5192039	12376182.57125318	0.012767218623437632	5.389506976159048e-07	0.015199244269385728	0.015199242905896915	428.6422253137045	5.50267095201408	33389.9953175711	795327341.0904571	554628245394029.44	1140.4856942268264	4676	782951158.5192039	554626832267474.06	1105.2702122621656	1899808.3429882333	0.0024264710797303655	0.03391827807311086	False	False	False	global_mass_aware	0.5900000000000001	1.3769507804809693
0.6033062934875488	0.6000022065800217	0.1916136332832156	5.218835334759007	54383	182370	436.2845754268462	850781699.1182517	837804421.1666392	12977277.951612473	0.013657415497082786	5.128043725893617e-07	0.014957561230768199	0.014957559952589045	436.2845754268462	5.602075948098866	33977.445596748665	850781699.1182517	591441833956109.9	1223.838859542448	4994	837804421.1666392	591440351812108.9	1186.7912731618198	1899808.3429882333	0.0022676036256084183	0.03256598532538911	False	False	False	global_mass_aware	0.6	1.370691263367501
0.5972719192504883	0.6099980140779805	0.19903988299559028	5.024118709023533	55289	189438	444.27422503850283	901561158.0836221	888027597.0291231	13533561.05449903	0.014472567222285487	4.927832361177379e-07	0.01479631340362097	0.014796312182529848	444.27422503850283	5.707216978043856	34584.209395384496	901561158.0836221	629707515031622.5	1290.7778649017143	5286	888027597.0291231	629705969191676.5	1252.3194183748928	1899808.3429882333	0.002139357323290403	0.032157983021520634	False	False	False	global_mass_aware	0.61	1.3672828526269698
