seed,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
16,0.875,0.75,31.664793068707336,40491.603892985186,0.0007820088616986837,0.15735993385733293,0.007820088616986838,52,37,25.468471261951123,18.616451590931423
16,0.85,0.75,39.105391854767674,52860.64097733997,0.0007397827784860039,0.17008672917104373,0.007397827784860038,67,57,31.638328993627695,27.36032150356743
16,0.8,0.5,93.84383464545256,230814.59648996923,0.000406576690003792,0.19533232110281,0.004065766900037919,141,207,74.62157939053989,85.05028160783782
16,0.825,0.525,76.6767242953094,158769.76816967654,0.00048294284975818145,0.192433042228457,0.0048294284975818145,114,156,60.89285107001214,75.68792680453868
16,0.8,0.775,41.05372943624753,83156.79399608447,0.0004936906230196969,0.14236516871293733,0.004936906230196969,76,98,33.598436307704894,48.17412121694878
16,0.825,0.775,35.33135931953315,64077.01868219463,0.0005513889385954036,0.13957550184158465,0.005513889385954036,67,74,29.024915897558618,37.97468619172774
16,0.875,0.775,23.579807203259197,34306.518200142295,0.0006873273197150445,0.1273068956671776,0.006873273197150445,45,32,19.390648401582666,15.95814262633146
16,0.85,0.775,31.02040598931954,46587.414636497066,0.0006658537768485189,0.14371866436675101,0.006658537768485188,60,51,25.56488423141831,24.719546906579016
17,0.875,0.75,25.59499277930655,38043.03326512864,0.0006727905369934756,0.13122526028297213,0.006727905369934756,41,41,20.699255533347387,20.532443292547782
17,0.85,0.75,31.351524733076506,73031.19017573787,0.00042928952215668515,0.11601241774717873,0.004292895221566851,51,65,25.406927896626588,19.202314010432158
17,0.8,0.5,89.15704833516786,264733.5895126554,0.0003367802646399949,0.17328108475202553,0.0033678026463999484,138,228,71.78224872747839,84.2822762419379
17,0.825,0.525,73.36526058888279,198759.70164895713,0.00036911536886112913,0.16456076453352522,0.0036911536886112917,111,162,58.8987957310498,56.30642904110989
17,0.8,0.775,42.941938893780964,100913.24088086335,0.00042553324537934094,0.13517848431001125,0.004255332453793409,72,108,34.944486778649626,61.70741525975913
17,0.825,0.775,38.199113536048436,77835.0861185245,0.0004907698499604688,0.13691958668762264,0.004907698499604688,59,79,30.74658395315573,45.76673897575496
17,0.875,0.775,25.440292272977437,33859.17029255763,0.0007513560448517342,0.1382559849774919,0.007513560448517341,39,36,20.4575268890076,19.28286346691669
17,0.85,0.775,31.196824226747392,53740.938201194134,0.0005805039002101789,0.13457294727321037,0.005805039002101789,49,56,25.164594919056178,30.139992087657866
18,0.875,0.75,23.061057882235968,38032.85587417138,0.0006063456806538959,0.1182496208797443,0.006063456806538958,45,31,18.25821825439317,16.859553313104698
18,0.85,0.75,29.210673317498898,51918.24660835807,0.000562628270901514,0.12819809132936963,0.00562628270901514,57,49,23.127076455564694,26.457801257628663
18,0.8,0.5,77.72741880357933,229054.08682968316,0.0003393408948925447,0.16240717919628495,0.003393408948925447,126,224,59.9296797089432,116.34239436410091
18,0.825,0.525,65.79778490885992,164332.8792566593,0.0004003933066011413,0.1623114064589704,0.004003933066011413,107,160,50.752329309121386,81.86740195561501
18,0.8,0.775,33.17251377706584,92387.4116825527,0.00035905880652927136,0.10913699284096604,0.003590588065292714,75,96,26.94206715235501,53.45820384895867
18,0.825,0.775,29.9498672691118,66157.54311345368,0.00045270525263839867,0.11644080997893205,0.004527052526383986,67,70,24.276422730470372,37.658386575810894
18,0.875,0.775,20.208008350088377,34857.819060494796,0.0005797266981912416,0.10823641696683135,0.0057972669819124165,42,29,16.16638630932407,15.894557742402485
18,0.85,0.775,24.968058716858152,43355.119243301604,0.000575896437436641,0.11991253506096633,0.0057589643743664095,53,41,20.0474457597613,21.775345608866694
19,0.875,0.75,28.80516298398969,24582.23436516806,0.0011717878267731973,0.18372136330012637,0.011717878267731973,53,30,22.706741464272675,14.418852438619593
19,0.85,0.75,32.016972695068084,42708.88078388007,0.0007496560927710493,0.15492488067751453,0.007496560927710492,61,55,25.37263651709079,26.685855230199362
19,0.8,0.5,93.79745241442768,222558.6462335332,0.0004214504985620959,0.19882400027138325,0.004214504985620958,135,212,71.61708497528195,115.99563899777968
19,0.825,0.525,79.14855847442031,167378.73898891517,0.00047287104056663976,0.19346074848699585,0.004728710405666398,114,161,60.437240077180476,84.71734387948283
19,0.8,0.775,48.912833714574894,86516.16840610231,0.0005653606096490617,0.1662930831049062,0.005653606096490617,77,99,37.745675764832264,62.83323351072151
19,0.825,0.775,44.46621246779536,64216.16249018926,0.0006924458071531255,0.1754720558473768,0.006924458071531254,70,76,34.31425069530206,45.66810601985892
19,0.875,0.775,28.50828832811925,21863.965836152278,0.0013038937465306738,0.19279984148159482,0.013038937465306738,49,26,22.254527341292917,12.175301785237567
19,0.85,0.775,31.72009803919764,33112.86682621226,0.0009579387434399942,0.1743155496720313,0.009579387434399941,57,44,24.917876234398953,21.51178522736756
20,0.875,0.75,26.303862418289864,34394.29269923632,0.0007647740469125538,0.14183268773828753,0.007647740469125538,38,39,21.27117699347248,19.129821033868286
20,0.85,0.75,35.99475909871245,46004.5321603673,0.0007824176751377069,0.16781816269747568,0.007824176751377069,52,57,29.107926412120236,28.052465243152433
20,0.8,0.5,85.59863054308354,208230.38625190797,0.0004110765584400832,0.18758355591798279,0.004110765584400832,121,202,69.04358937021942,103.72929875437399
20,0.825,0.525,72.90388047045232,158452.87501631354,0.0004600981866876602,0.18314732650778454,0.004600981866876602,100,158,58.60137286655434,77.73645007892135
