replica	category_id	selected_structure_id	threshold_variable	threshold_value	supporting_outer_fold_count	supporting_outer_folds_json	is_nominal_structure
438	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.264651595380826	4	[0,2,3,4]	True
448	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.843111765508832	2	[0,4]	True
448	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	168.94550564900118	2	[0,4]	True
448	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.858693979993475	2	[0,4]	True
458	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	179.48884582519528	2	[2,4]	True
458	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.26134678368717	2	[2,4]	True
481	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.51656150817868	2	[1,4]	True
481	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.39005950362859	2	[1,4]	True
485	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.843111765508832	2	[1,4]	True
485	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	213.34432954655844	2	[1,4]	True
485	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.91317545497404	2	[1,4]	True
491	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.25309753417966	2	[1,4]	True
491	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.38825165365692	2	[1,4]	True
496	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	186.9300556182861	2	[3,4]	True
496	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.16848363056694	2	[3,4]	True
499	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.904302164473993	2	[0,4]	True
