seed,luminosity_fb,category,sample,group,expected_events,rows,fraction_within_group
1,138.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,1.0740868731707316,47,0.09234683679613015
1,138.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,343.7300311802421,13,0.01857034300358103
1,138.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,10.556921945701358,25,0.9076531632038697
1,138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,6217.8243974047655,15,0.3359238975988496
1,138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,1381.8102386061169,7,0.07465361699315709
1,138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,350.29600020172074,10,0.018925075746777997
1,138.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,10215.961428114948,10,0.551927066657634
1,138.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.4570582439024389,20,0.0490149581309004
1,138.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,370.1708028094915,14,0.011443273745525511
1,138.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,8.86781443438914,21,0.9509850418690995
1,138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,10777.562288834932,26,0.33317213201188844
1,138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,3553.226327844301,18,0.10984264896293476
1,138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,280.2368001613766,8,0.008663099286809918
1,138.0,CAT1_high_QCD_medium_top,ttbar_200k,background,17367.134427795412,17,0.5368788459928415
1,138.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,0.2742349463414634,12,0.04433074929989495
1,138.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,766.7823772482324,29,0.022540021606205603
1,138.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,5.911876289592761,14,0.9556692507001051
1,138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,21140.60295117621,51,0.6214405304902619
1,138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,3553.226327844301,18,0.10444918998891059
1,138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,385.3256002218928,11,0.011326873976413661
1,138.0,CAT2_nominal_loose_mid,ttbar_200k,background,8172.769142491958,8,0.2402433839382083
1,138.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.43420533170731695,19,0.07329838684939896
1,138.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,793.2231488774817,30,0.019681865985883926
1,138.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,5.489599411764706,13,0.926701613150601
1,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,4988.512907409668,1,0.12377758093851884
1,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,23627.73271013812,57,0.5862636124643061
1,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,4342.832178476368,22,0.10775661433597218
1,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,420.3552002420649,12,0.010430072205206909
1,138.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,6129.576856868969,6,0.15209025407011226
1,138.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.1828232975609756,8,0.02483495850474596
1,138.0,CAT4_loose_low_purity,Zbbbb_100k,background,528.8154325849878,20,0.012520932760477645
1,138.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,7.178706923076923,17,0.975165041495254
1,138.0,CAT4_loose_low_purity,qcd_bbbb_iht100to200_20000,background,9977.025814819335,2,0.2362292430957487
1,138.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,18653.473192214304,45,0.4416642730099438
1,138.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,2368.8175518962003,12,0.05608725362674596
1,138.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,490.41440028240896,14,0.011611699190944394
1,138.0,CAT4_loose_low_purity,ttbar_200k,background,10215.961428114948,10,0.24188659831613943
1,350.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,2.7241333739837397,47,0.09234683679613015
1,350.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,871.7790645875706,13,0.01857034300358103
1,350.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,26.774802036199095,25,0.9076531632038696
1,350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,15769.844486171507,15,0.3359238975988496
1,350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,3504.5911848705864,7,0.07465361699315709
1,350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,888.4318845695816,10,0.018925075746777997
1,350.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,25910.047100291536,10,0.551927066657634
1,350.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.1592056910569102,20,0.0490149581309004
1,350.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,938.8389926327683,14,0.011443273745525513
1,350.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,22.49083371040724,21,0.9509850418690996
1,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,27334.397109363956,26,0.33317213201188844
1,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,9011.805903952938,18,0.10984264896293477
1,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,710.7455076556653,8,0.008663099286809918
1,350.0,CAT1_high_QCD_medium_top,ttbar_200k,background,44047.08007049561,17,0.5368788459928415
1,350.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,0.6955234146341464,12,0.04433074929989496
1,350.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,1944.7379133107343,29,0.0225400216062056
1,350.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,14.993889140271493,14,0.955669250700105
1,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,53617.471252983145,51,0.6214405304902619
1,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,9011.805903952938,18,0.10444918998891059
1,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,977.2750730265398,11,0.011326873976413661
1,350.0,CAT2_nominal_loose_mid,ttbar_200k,background,20728.03768023323,8,0.2402433839382083
1,350.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.1012454065040647,19,0.07329838684939895
1,350.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,2011.7978413559317,30,0.019681865985883926
1,350.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,13.92289705882353,13,0.926701613150601
1,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,12652.025489807129,1,0.12377758093851886
1,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,59925.40904745175,57,0.586263612464306
1,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,11014.429438164701,22,0.10775661433597215
1,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1066.118261483498,12,0.010430072205206909
1,350.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,15546.02826017492,6,0.15209025407011226
1,350.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.4636822764227642,8,0.02483495850474596
1,350.0,CAT4_loose_low_purity,Zbbbb_100k,background,1341.1985609039546,20,0.012520932760477646
1,350.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,18.206865384615387,17,0.9751650414952542
1,350.0,CAT4_loose_low_purity,qcd_bbbb_iht100to200_20000,background,25304.050979614258,2,0.23622924309574872
1,350.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,47309.53345851454,45,0.4416642730099439
1,350.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,6007.870602635291,12,0.056087253626745964
1,350.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,1243.804638397414,14,0.011611699190944394
1,350.0,CAT4_loose_low_purity,ttbar_200k,background,25910.047100291536,10,0.24188659831613943
1,450.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,3.5024571951219508,47,0.09234683679613015
1,450.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,1120.8587973268764,13,0.018570343003581027
1,450.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,34.42474547511312,25,0.9076531632038696
1,450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,20275.514339363366,15,0.33592389759884955
1,450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,4505.902951976468,7,0.07465361699315708
1,450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,1142.2695658751763,10,0.018925075746777993
1,450.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,33312.917700374834,10,0.551927066657634
1,450.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.4904073170731702,20,0.0490149581309004
1,450.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,1207.0787048135592,14,0.011443273745525513
1,450.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,28.91678619909502,21,0.9509850418690995
1,450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,35144.224854896514,26,0.33317213201188844
1,450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,11586.607590796633,18,0.10984264896293476
1,450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,913.8156527001412,8,0.00866309928680992
1,450.0,CAT1_high_QCD_medium_top,ttbar_200k,background,56631.960090637214,17,0.5368788459928415
1,450.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,0.8942443902439023,12,0.04433074929989495
1,450.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,2500.377317113801,29,0.022540021606205596
1,450.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,19.27785746606335,14,0.9556692507001051
1,450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,68936.74875383548,51,0.6214405304902619
