baseline	sample_class	population_kind	process_or_mode	selected_rows	selected_sources	physical_yield	physical_sumw2	physical_effective_events	fraction_of_selected_class_yield	display_group
dense_dnn	background	ordinary	wz_zbb	2	2	16.40290950984749	134.5277262917456	1.9999999093477128	2.377197136058705e-05	Other
dense_dnn	background	ordinary	wzz_zbb	24	4	6.143949278529348	1.5728406900759144	23.999959420759488	8.904139000609357e-06	Other
dense_dnn	background	ordinary	zbbbb	1523	19	5806.6246368918855	22138.68769245097	1522.9850179989155	0.0084152701377157	zbbbb
dense_dnn	background	ordinary	zzz_zbb	13	3	2.523564272945232	0.4898800934688881	12.999868181192076	3.65728394630475e-06	Other
dense_dnn	signal	ordinary	ggf_hh4b	2925	80	42.13837985422879	0.6070640721807414	2924.968118045061	0.883985209624429	Other
dense_dnn	signal	ordinary	vbf_hh4b	2810	7	5.5302682130072585	0.0108840635869664	2809.9676433737923	0.116014790375571	Other
lbn_dnn	background	hard_qcd	qcd_hardqcd	187	48	711753.7039510799	12588366405.705956	40.242976631062845	0.8477764481484051	Transferred QCD
lbn_dnn	background	ordinary	bbh_hbb_4fs	465	3	676.2710863913137	983.5393559423648	464.99672791506254	0.0008055127727803	Other
lbn_dnn	background	ordinary	ggh_hbb	14	6	938.2095047706132	62874.15558719246	13.999982450996525	0.0011175100560181	ggh_hbb
lbn_dnn	background	ordinary	schannel_single_top	4	1	204.28844606411116	10433.44229882231	4.0	0.0002433298657113	Other
lbn_dnn	background	ordinary	tchannel_antitop	10	4	1380.1079831865372	190469.85509303925	9.999997345116997	0.0016438594383873	tchannel_antitop
lbn_dnn	background	ordinary	tchannel_top	8	4	1853.99712270404	429664.0121052984	7.999984253166808	0.002208313194351	tchannel_top
lbn_dnn	background	ordinary	ttbar_inclusive	983	81	110904.07645090231	12512439.781650688	982.9988705691864	0.1320988756318259	ttbar_inclusive
lbn_dnn	background	ordinary	tth_hbb	890	2	908.2037349204676	926.7803139569857	889.9995087312243	0.0010817699048306	Other
lbn_dnn	background	ordinary	tttt	601	3	21.052789679462528	0.737475371162828	600.9962781385209	2.507617334338013e-05	Other
lbn_dnn	background	ordinary	ttw	76	4	61.86690942182162	50.36244377576163	75.99937958630161	7.369025048467606e-05	Other
lbn_dnn	background	ordinary	ttz_zbb	1101	3	322.9237506325604	94.71391619666691	1100.9971175309693	0.0003846374789682	Other
lbn_dnn	background	ordinary	tw_antitop	24	4	1325.779768791848	73237.28332337597	23.999961707710472	0.0015791485975752	tw_antitop
lbn_dnn	background	ordinary	tw_top	18	5	995.0407741873682	55005.91272557096	17.999994786653545	0.0011852023089175	Other
lbn_dnn	background	ordinary	vbf_hbb	11	3	49.429749014618494	222.11851051105737	10.999984116706685	5.887623319675851e-05	Other
lbn_dnn	background	ordinary	wh_hbb	11	4	20.248579793921333	37.27320501973727	10.99999271470456	2.4118271478528285e-05	Other
lbn_dnn	background	ordinary	wwz_zbb	16	4	8.128599847505654	4.12965221349018	15.999927370403505	9.6820507836959e-06	Other
lbn_dnn	background	ordinary	wz_zbb	2	2	16.355855336888546	133.75708001252573	1.9999988320332205	1.948161121882908e-05	Other
lbn_dnn	background	ordinary	wzz_zbb	42	4	10.752140310289825	2.752587482381981	41.99994441307141	1.2806974198587828e-05	Other
lbn_dnn	background	ordinary	zbbbb	2124	19	8098.04334047707	30875.20409874305	2123.9796742562994	0.0096456546443393	zbbbb
lbn_dnn	background	ordinary	zzz_zbb	26	3	5.0426885605049	0.9780366154834736	25.999750434370792	6.006393185187094e-06	Other
lbn_dnn	signal	ordinary	ggf_hh4b	2930	80	42.20998253520513	0.6080891925390126	2929.969233926183	0.8840924657430334	Other
lbn_dnn	signal	ordinary	vbf_hh4b	2812	7	5.533872514763939	0.0108905066132406	2811.9669816303567	0.1159075342569666	Other
