series	mbb1_low_GeV	mbb1_high_GeV	mbb2_low_GeV	mbb2_high_GeV	unit_normalized_weight
signal	31.248708266878577	35.31470135884584	751.6960157530128	849.5045645483127	0.0
signal	31.248708266878577	35.31470135884584	849.5045645483127	960.0396836818343	0.0
signal	31.248708266878577	35.31470135884584	960.0396836818343	1084.9573183093817	0.0
signal	31.248708266878577	35.31470135884584	1084.9573183093817	1226.1288804632343	0.0
signal	31.248708266878577	35.31470135884584	1226.1288804632343	1385.6692849896287	0.0
signal	31.248708266878577	35.31470135884584	1385.6692849896287	1565.9686334427229	0.0
signal	31.248708266878577	35.31470135884584	1565.9686334427229	1769.7280205967947	0.0
signal	31.248708266878577	35.31470135884584	1769.7280205967947	2000.0	0.0
signal	35.31470135884584	39.90974991392957	15.0	16.95175736093239	0.0
signal	35.31470135884584	39.90974991392957	16.95175736093239	19.15747184159503	0.0
signal	35.31470135884584	39.90974991392957	19.15747184159503	21.650187620507552	0.0
signal	35.31470135884584	39.90974991392957	21.650187620507552	24.467248490767076	0.0
signal	35.31470135884584	39.90974991392957	24.467248490767076	27.65085731367484	0.0
signal	35.31470135884584	39.90974991392957	27.65085731367484	31.248708266878577	0.0
signal	35.31470135884584	39.90974991392957	31.248708266878577	35.31470135884584	0.0
signal	35.31470135884584	39.90974991392957	35.31470135884584	39.90974991392957	0.0
signal	35.31470135884584	39.90974991392957	39.90974991392957	45.102693125095094	0.0
signal	35.31470135884584	39.90974991392957	45.102693125095094	50.971327345413684	0.0
signal	35.31470135884584	39.90974991392957	50.971327345413684	57.60357156827405	0.0
signal	35.31470135884584	39.90974991392957	57.60357156827405	65.09878455656568	0.0
signal	35.31470135884584	39.90974991392957	65.09878455656568	73.56925335296755	0.0
signal	35.31470135884584	39.90974991392957	73.56925335296755	83.14187547096454	0.0
signal	35.31470135884584	39.90974991392957	83.14187547096454	93.96005996777642	0.00018160459581448177
signal	35.31470135884584	39.90974991392957	93.96005996777642	106.18587587949342	7.412584984891658e-05
signal	35.31470135884584	39.90974991392957	106.18587587949342	120.00248020448376	0.00043849003182752216
signal	35.31470135884584	39.90974991392957	120.00248020448376	135.6168618091	0.00023149260152196708
signal	35.31470135884584	39.90974991392957	135.6168618091	153.26294236259747	4.97501273924221e-05
signal	35.31470135884584	39.90974991392957	153.26294236259747	173.20508075688775	0.0
signal	35.31470135884584	39.90974991392957	173.20508075688775	195.7420335114306	2.4675199250034217e-05
signal	35.31470135884584	39.90974991392957	195.7420335114306	221.2114304947513	0.0
signal	35.31470135884584	39.90974991392957	221.2114304947513	249.99483301411902	0.0
signal	35.31470135884584	39.90974991392957	249.99483301411902	282.5234500494769	2.477545134884815e-05
signal	35.31470135884584	39.90974991392957	282.5234500494769	319.284598267482	0.0
signal	35.31470135884584	39.90974991392957	319.284598267482	360.82900259420836	2.477545134884815e-05
signal	35.31470135884584	39.90974991392957	360.82900259420836	407.77904671761775	0.0
signal	35.31470135884584	39.90974991392957	407.77904671761775	460.8380971219581	0.0
signal	35.31470135884584	39.90974991392957	460.8380971219581	520.8010403390149	0.0
signal	35.31470135884584	39.90974991392957	520.8010403390149	588.5661912765424	0.0
signal	35.31470135884584	39.90974991392957	588.5661912765424	665.1487510245375	0.0
signal	35.31470135884584	39.90974991392957	665.1487510245375	751.6960157530128	0.0
signal	35.31470135884584	39.90974991392957	751.6960157530128	849.5045645483127	0.0
signal	35.31470135884584	39.90974991392957	849.5045645483127	960.0396836818343	0.0
signal	35.31470135884584	39.90974991392957	960.0396836818343	1084.9573183093817	0.0
signal	35.31470135884584	39.90974991392957	1084.9573183093817	1226.1288804632343	0.0
signal	35.31470135884584	39.90974991392957	1226.1288804632343	1385.6692849896287	0.0
signal	35.31470135884584	39.90974991392957	1385.6692849896287	1565.9686334427229	0.0
signal	35.31470135884584	39.90974991392957	1565.9686334427229	1769.7280205967947	0.0
signal	35.31470135884584	39.90974991392957	1769.7280205967947	2000.0	0.0
signal	39.90974991392957	45.102693125095094	15.0	16.95175736093239	0.0
signal	39.90974991392957	45.102693125095094	16.95175736093239	19.15747184159503	0.0
signal	39.90974991392957	45.102693125095094	19.15747184159503	21.650187620507552	0.0
signal	39.90974991392957	45.102693125095094	21.650187620507552	24.467248490767076	0.0
signal	39.90974991392957	45.102693125095094	24.467248490767076	27.65085731367484	0.0
signal	39.90974991392957	45.102693125095094	27.65085731367484	31.248708266878577	0.0
signal	39.90974991392957	45.102693125095094	31.248708266878577	35.31470135884584	0.0
signal	39.90974991392957	45.102693125095094	35.31470135884584	39.90974991392957	0.0
signal	39.90974991392957	45.102693125095094	39.90974991392957	45.102693125095094	0.0
signal	39.90974991392957	45.102693125095094	45.102693125095094	50.971327345413684	0.0
signal	39.90974991392957	45.102693125095094	50.971327345413684	57.60357156827405	0.0
signal	39.90974991392957	45.102693125095094	57.60357156827405	65.09878455656568	0.0
signal	39.90974991392957	45.102693125095094	65.09878455656568	73.56925335296755	0.0
signal	39.90974991392957	45.102693125095094	73.56925335296755	83.14187547096454	2.4880232481744077e-05
signal	39.90974991392957	45.102693125095094	83.14187547096454	93.96005996777642	0.00041460075953344487
signal	39.90974991392957	45.102693125095094	93.96005996777642	106.18587587949342	0.0002563619748386219
signal	39.90974991392957	45.102693125095094	106.18587587949342	120.00248020448376	0.0007761441061506633
signal	39.90974991392957	45.102693125095094	120.00248020448376	135.6168618091	0.0002302496288553472
signal	39.90974991392957	45.102693125095094	135.6168618091	153.26294236259747	0.0002074009623121553
signal	39.90974991392957	45.102693125095094	153.26294236259747	173.20508075688775	0.0
signal	39.90974991392957	45.102693125095094	173.20508075688775	195.7420335114306	0.0
signal	39.90974991392957	45.102693125095094	195.7420335114306	221.2114304947513	0.0
signal	39.90974991392957	45.102693125095094	221.2114304947513	249.99483301411902	0.0
signal	39.90974991392957	45.102693125095094	249.99483301411902	282.5234500494769	0.0
signal	39.90974991392957	45.102693125095094	282.5234500494769	319.284598267482	2.4919277629827585e-05
signal	39.90974991392957	45.102693125095094	319.284598267482	360.82900259420836	0.0
signal	39.90974991392957	45.102693125095094	360.82900259420836	407.77904671761775	0.0
signal	39.90974991392957	45.102693125095094	407.77904671761775	460.8380971219581	0.0
signal	39.90974991392957	45.102693125095094	460.8380971219581	520.8010403390149	0.0
signal	39.90974991392957	45.102693125095094	520.8010403390149	588.5661912765424	0.0
signal	39.90974991392957	45.102693125095094	588.5661912765424	665.1487510245375	0.0
