figure	panel	series	bin_low	bin_high	central_value	weighted_statistical_uncertainty	bootstrap_median	bootstrap_p16	bootstrap_p84	valid_replicas	multijet_systematic_lower	multijet_systematic_upper	multijet_systematic_support	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
fig02	physical_yield	signal	0.5333333333333333	0.5666666666666667	2.6241661311002233	0.18585712118119108	2.6247278598129826	2.4357658810996052	2.8186210123526916	1000			not_applicable	2.6241661311002233	2.4357658810996052	2.8186210123526916	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.5666666666666667	0.6	2.682142023771735	0.18667306954085566	2.669319258970721	2.4721348108632255	2.8809511231012817	1000			not_applicable	2.682142023771735	2.4721348108632255	2.8809511231012817	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.6	0.6333333333333333	3.032178525779005	0.19960585058788652	3.030326027555409	2.850559136487886	3.222243436271248	1000			not_applicable	3.032178525779005	2.850559136487886	3.222243436271248	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.6333333333333333	0.6666666666666666	3.4302087032077964	0.21368133679981777	3.4399891869843255	3.2560485767031273	3.61898482006972	1000			not_applicable	3.4302087032077964	3.2560485767031273	3.61898482006972	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.6666666666666666	0.7	3.5767613803764573	0.21716758571453823	3.5767559678876015	3.33968082784513	3.8293121261426757	1000			not_applicable	3.5767613803764573	3.33968082784513	3.8293121261426757	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.7	0.7333333333333333	3.749516546558047	0.2220916323814012	3.7439449329792622	3.519473190241046	3.963190099537332	1000			not_applicable	3.749516546558047	3.519473190241046	3.963190099537332	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.7333333333333333	0.7666666666666666	4.052942565482854	0.23117070294226366	4.063918939628917	3.828700319937083	4.312915852979696	1000			not_applicable	4.052942565482854	3.828700319937083	4.312915852979696	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.7666666666666666	0.8	5.375353481629151	0.26734917455886537	5.380305214650511	5.1091478975231865	5.60893516581347	1000			not_applicable	5.375353481629151	5.1091478975231865	5.60893516581347	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.8	0.8333333333333334	5.635875211954225	0.2723403997436826	5.626394570837165	5.37486820897886	5.888628799899519	1000			not_applicable	5.635875211954225	5.37486820897886	5.888628799899519	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.8333333333333334	0.8666666666666667	6.800556377622398	0.29836629065943343	6.789338235188733	6.5129169100840825	7.080801703887775	1000			not_applicable	6.800556377622398	6.5129169100840825	7.080801703887775	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.8666666666666667	0.9	7.295623406164389	0.30707180243632326	7.312113986372392	6.998863685633523	7.592324684008016	1000			not_applicable	7.295623406164389	6.998863685633523	7.592324684008016	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.9	0.9333333333333333	7.412699542237723	0.3092393274050458	7.409840010215429	7.086644860568362	7.74783695609151	1000			not_applicable	7.412699542237723	7.086644860568362	7.74783695609151	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.9333333333333333	0.9666666666666667	4.2875354220897925	0.22797388274465888	4.284867053567135	4.080361346152463	4.484297598695506	1000			not_applicable	4.2875354220897925	4.080361346152463	4.484297598695506	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.9666666666666667	1.0	0.7228642089199281	0.09457390377176887	0.7241891755381276	0.616758243123949	0.8324766469205542	1000			not_applicable	0.7228642089199281	0.616758243123949	0.8324766469205542	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.0	0.03333333333333333	113.79395848650836	112.88340264627747	113.54959753422776	0.8390012934772356	226.67721984093646	1000			not_applicable	113.79395848650836	0.8390012934772356	226.67721984093646	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.03333333333333333	0.06666666666666667	1436.4799050640759	394.7043751642354	1387.3917049214447	1045.7237454888423	1772.9844979565012	1000			not_applicable	1436.4799050640759	1045.7237454888423	1772.9844979565012	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.06666666666666667	0.1	3493.893440651744	618.1670818301028	3482.5038649389185	2918.4378038800646	4033.6622245678755	1000			not_applicable	3493.893440651744	2918.4378038800646	4033.6622245678755	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.1	0.13333333333333333	4494.178003272743	689.1653761751077	4494.886580635887	3887.0354793545457	5126.5306210123	1000			not_applicable	4494.178003272743	3887.0354793545457	5126.5306210123	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.13333333333333333	0.16666666666666666	7784.297580514474	909.8406074701295	7719.16134563738	6884.2424058637525	8609.847906946346	1000			not_applicable	7784.297580514474	6884.2424058637525	8609.847906946346	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.16666666666666666	0.2	10254.168774508966	1034.906119916611	10246.615827918873	9276.742323487171	11216.136619736604	1000			not_applicable	10254.168774508966	9276.742323487171	11216.136619736604	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.2	0.23333333333333334	12778.2630902122	1157.1355810662185	12751.168993693298	11741.65138284698	13884.562311965523	1000			not_applicable	12778.2630902122	11741.65138284698	13884.562311965523	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.23333333333333334	0.26666666666666666	15129.120090894226	1257.3966879207019	15121.946343891977	14049.7225207543	16211.422299468053	1000			not_applicable	15129.120090894226	14049.7225207543	16211.422299468053	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.26666666666666666	0.3	17905.043162446244	1366.8777025460556	17975.5148498925	16634.271880006992	19279.46084525222	1000			not_applicable	17905.043162446244	16634.271880006992	19279.46084525222	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.3	0.3333333333333333	16905.797276779595	1322.3380406245346	16967.128880814893	15477.987367562497	18315.59390392287	1000			not_applicable	16905.797276779595	15477.987367562497	18315.59390392287	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.3333333333333333	0.36666666666666664	20868.604820690045	1479.769296767838	20848.510211477787	19459.309225057073	22272.527897660966	1000			not_applicable	20868.604820690045	19459.309225057073	22272.527897660966	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.36666666666666664	0.4	20166.164520784994	1458.672733641022	20216.542568132216	18969.348242145	21619.65911320851	1000			not_applicable	20166.164520784994	18969.348242145	21619.65911320851	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.4	0.43333333333333335	21465.324463802044	1514.8362958554555	21410.446357435423	19706.53265227571	23121.134228882154	1000			not_applicable	21465.324463802044	19706.53265227571	23121.134228882154	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.43333333333333335	0.4666666666666667	18154.055349026563	1391.1238190996198	18145.014600165952	17011.608196333975	19285.049817703937	1000			not_applicable	18154.055349026563	17011.608196333975	19285.049817703937	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.4666666666666667	0.5	19102.126302719054	1413.6153696984347	19080.648687367993	17699.513038672827	20606.003946477707	1000			not_applicable	19102.126302719054	17699.513038672827	20606.003946477707	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.5	0.5333333333333333	14632.725725288603	1212.6762608371662	14635.658909220401	13471.117338982516	15841.753081704788	1000			not_applicable	14632.725725288603	13471.117338982516	15841.753081704788	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.5333333333333333	0.5666666666666667	15825.384803252276	1267.5759487614487	15856.549617600542	14533.842208617305	17113.33639338878	1000			not_applicable	15825.384803252276	14533.842208617305	17113.33639338878	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.5666666666666667	0.6	15804.604208407101	1282.850667628596	15870.18083235064	14552.592111083484	17214.94631605514	1000			not_applicable	15804.604208407101	14552.592111083484	17214.94631605514	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.6	0.6333333333333333	15841.3235377206	1296.8663287161005	15806.16563176805	14408.325951107036	17304.402599898625	1000			not_applicable	15841.3235377206	14408.325951107036	17304.402599898625	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.6333333333333333	0.6666666666666666	13452.719167358928	1191.8358456369476	13495.605744975102	12376.830129749404	14601.297790526629	1000			not_applicable	13452.719167358928	12376.830129749404	14601.297790526629	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.6666666666666666	0.7	12626.014236574201	1159.7297794399797	12552.005851337919	11347.658912376579	13867.643567344037	1000			not_applicable	12626.014236574201	11347.658912376579	13867.643567344037	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.7	0.7333333333333333	12720.03333562018	1160.2664933510255	12677.756979170088	11618.704348412683	13876.187423729334	1000			not_applicable	12720.03333562018	11618.704348412683	13876.187423729334	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.7333333333333333	0.7666666666666666	12463.828149190991	1144.2761047212334	12454.21529729136	11258.761790867398	13689.607424681595	1000			not_applicable	12463.828149190991	11258.761790867398	13689.607424681595	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.7666666666666666	0.8	9968.982130689552	998.8770410917947	9994.305083730389	8954.128813855323	10971.352485874046	1000			not_applicable	9968.982130689552	8954.128813855323	10971.352485874046	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.8	0.8333333333333334	12476.104574108671	1138.0984749457975	12405.025972709393	11193.717002889518	13718.083561836327	1000			not_applicable	12476.104574108671	11193.717002889518	13718.083561836327	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.8333333333333334	0.8666666666666667	10122.73254768975	1037.3385427174535	10065.092336755013	9078.386899967452	11145.884114201004	1000			not_applicable	10122.73254768975	9078.386899967452	11145.884114201004	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.8666666666666667	0.9	8857.770875029193	966.1547710451133	8888.506820741844	7927.911495521754	9775.211172749967	1000			not_applicable	8857.770875029193	7927.911495521754	9775.211172749967	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.9	0.9333333333333333	5476.197800215545	763.4408636899226	5442.245313163476	4758.827134960571	6155.21482821755	1000			not_applicable	5476.197800215545	4758.827134960571	6155.21482821755	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.9333333333333333	0.9666666666666667	2021.2977861551528	461.3724402442069	2023.6932814308175	1581.4585795111404	2443.9870435623247	1000			not_applicable	2021.2977861551528	1581.4585795111404	2443.9870435623247	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	ordinary	0.9666666666666667	1.0	119.24414028927309	112.89134959520406	116.61816285943233	4.923623501195329	232.06161660920134	1000			not_applicable	119.24414028927309	4.923623501195329	232.06161660920134	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	transferred	0.0	0.03333333333333333	0.9628556893159921	0.9628556893159921	0.9628556893159921	0.0	1.9257113786319842	1000			unsupported_zero_direct_or_transferred_bin	0.9628556893159921	0.0	1.9257113786319842	1000	True	paired_source_member_bootstrap_p16_p84
