figure	panel	series	bin_low	bin_high	value	statistical_uncertainty	normalization
fig13	unit_shape	fourb_direct_qcd	0.528685631720282	0.6141140130578951	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.6141140130578951	0.7133464546916389	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.7133464546916389	0.8286135043349967	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.8286135043349967	0.962506135764175	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.962506135764175	1.118033988749895	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	1.118033988749895	1.2986930197671636	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	1.2986930197671636	1.5085440841362905	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	1.5085440841362905	1.7523042159652176	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	1.7523042159652176	2.0354526576845218	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	2.0354526576845218	2.3643540225079396	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	2.3643540225079396	2.7464013582652944	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	2.7464013582652944	3.1901823283979565	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	3.1901823283979565	3.7056722455347377	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	3.7056722455347377	4.304458296658675	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	4.304458296658675	5.000000000000001	4.647053968942831e-06	4.647053968942831e-06	unit_area
