model	false_positive_rate	true_positive_rate	threshold	weighting
bdt	0.12466480456760597	0.4817757761443502	0.769848644733429	development_hierarchical_weight
bdt	0.12517937618749966	0.4850867348144955	0.7683457732200623	development_hierarchical_weight
bdt	0.12667479475904392	0.48814337751412656	0.7667721509933472	development_hierarchical_weight
bdt	0.128644774666622	0.4906713662471523	0.7652276754379272	development_hierarchical_weight
bdt	0.13156289864477608	0.4932915558411528	0.7630802392959595	development_hierarchical_weight
bdt	0.13370532948071473	0.49686993612557706	0.7611402273178101	development_hierarchical_weight
bdt	0.13509871003120974	0.4987870905826237	0.7592176795005798	development_hierarchical_weight
bdt	0.13740206171923705	0.5012726317692231	0.7571924924850464	development_hierarchical_weight
bdt	0.1380263788921651	0.5043380009134949	0.7554635405540466	development_hierarchical_weight
bdt	0.14027945180882184	0.5077883300198635	0.7533852458000183	development_hierarchical_weight
bdt	0.1422969920033976	0.5105963071210436	0.7513556480407715	development_hierarchical_weight
bdt	0.14286266081717655	0.5138103824101445	0.7498443722724915	development_hierarchical_weight
bdt	0.1435388952835059	0.5161567227353672	0.7477412819862366	development_hierarchical_weight
bdt	0.14442476860337558	0.51874951239581	0.745873212814331	development_hierarchical_weight
bdt	0.14491517767455753	0.5223003916535638	0.74346923828125	development_hierarchical_weight
bdt	0.1471864840410728	0.5251021407492011	0.7418419718742371	development_hierarchical_weight
bdt	0.14894877942918894	0.5275960565005092	0.7395140528678894	development_hierarchical_weight
bdt	0.14964845136093288	0.5301581103844025	0.7375406622886658	development_hierarchical_weight
bdt	0.15106691637598618	0.5333273281210706	0.7356227040290833	development_hierarchical_weight
bdt	0.15173108587444206	0.5360287361334573	0.7338889837265015	development_hierarchical_weight
bdt	0.15318010288517417	0.5391981972676159	0.732200026512146	development_hierarchical_weight
bdt	0.15832514028676753	0.5416726873398611	0.7303885221481323	development_hierarchical_weight
bdt	0.15915567742816594	0.5448746058528046	0.7286497354507446	development_hierarchical_weight
bdt	0.16112638679739094	0.5466453065398121	0.7267398238182068	development_hierarchical_weight
bdt	0.16178731760055723	0.5495704014762737	0.7245240211486816	development_hierarchical_weight
bdt	0.16246103843071344	0.5522877691767035	0.7229938507080078	development_hierarchical_weight
bdt	0.166018844746972	0.5549833804014228	0.7213310599327087	development_hierarchical_weight
bdt	0.1667784019581871	0.5572726176879551	0.7195208072662354	development_hierarchical_weight
bdt	0.17278847142452153	0.5598512956633142	0.7173984050750732	development_hierarchical_weight
bdt	0.17530781931540632	0.5626066845200806	0.7152838706970215	development_hierarchical_weight
bdt	0.17584411872943387	0.5662330695447834	0.7134761810302734	development_hierarchical_weight
bdt	0.17651660179196912	0.5695000759437034	0.7117599844932556	development_hierarchical_weight
bdt	0.17729131396730496	0.5714738583968338	0.7096184492111206	development_hierarchical_weight
bdt	0.17813586617632035	0.5735747123278939	0.7075310349464417	development_hierarchical_weight
bdt	0.18137851669238061	0.5761317114278864	0.7052710652351379	development_hierarchical_weight
bdt	0.18232840999873884	0.5789192462253789	0.7035017609596252	development_hierarchical_weight
bdt	0.1830136888601277	0.5816097661567844	0.7014940977096558	development_hierarchical_weight
bdt	0.19106512873783732	0.5834795576309183	0.6997045278549194	development_hierarchical_weight
bdt	0.1917362616776962	0.5858034485506441	0.6981013417243958	development_hierarchical_weight
bdt	0.19377236606520776	0.5880049760770604	0.6966640949249268	development_hierarchical_weight
bdt	0.19627862265803434	0.5903147242180282	0.6948065757751465	development_hierarchical_weight
bdt	0.19697229567830743	0.5927028907032756	0.6928139328956604	development_hierarchical_weight
