evaluation_stage	strategy	category	trial_id	fold	training_rows	heldout_rows	training_members	heldout_members	fit_weight_mean	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	member_leakage	fit_status	failure_reason
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	0	3	22688	6474	218	62	1.0	0.7426410252381618	0.8317099527133943	0.6787088398895218	0.5317508999693517	0.8150947579415515	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	0	4	23687	5475	229	51	0.9999999999999997	0.7797226819889631	0.8097334119673955	0.7324216599762905	0.38516483892861403	1.1442352620651945	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	1	0	23284	5878	225	55	1.0	0.7764329288651906	0.8089035503134643	0.7807027994135599	0.47943990535278774	0.3995537740411237	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	1	1	23436	5726	225	55	1.0000000000000002	0.8446682537869387	0.8074397555632422	0.8520500048820958	0.5017356576842138	0.39029785990715027	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	1	2	23553	5609	223	57	1.0	0.7886023559814288	0.7960109112025417	0.7043386033054955	0.38507593679295804	0.25861662288662046	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	1	3	22688	6474	218	62	1.0	0.7414989395860829	0.8137097459152756	0.6857119988416783	0.514357930264137	0.4000898679951206	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	1	4	23687	5475	229	51	0.9999999999999997	0.7652185302296337	0.7901900632531721	0.7117420031194754	0.3436385132349713	0.2577493959106505	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	2	0	23284	5878	225	55	1.0	0.7762802367206423	0.8072266235460689	0.7832535678437214	0.48228883539685613	0.4268036100547761	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	2	1	23436	5726	225	55	1.0000000000000002	0.8418144877076956	0.8064258985566491	0.85202888071186	0.5025392293974625	0.34982435207348317	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	2	2	23553	5609	223	57	1.0	0.7859193115203017	0.7933973532002785	0.7046301300061178	0.3900171826045603	0.4503557590069249	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	2	3	22688	6474	218	62	1.0	0.7378148467530421	0.8125528535370787	0.6797514201822266	0.5065836593683439	0.4167225289857015	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	2	4	23687	5475	229	51	0.9999999999999997	0.7645691936933949	0.7903119797981333	0.7097218668673105	0.3403412975725661	0.41228448296897113	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	3	0	23284	5878	225	55	1.0	0.804824137799914	0.827444143474468	0.8259612421606214	0.5228363334993813	0.4160685900133103	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	3	1	23436	5726	225	55	1.0000000000000002	0.8497289747123471	0.8246523956269719	0.8578574008859345	0.5352510040226498	0.49225114297587425	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	3	2	23553	5609	223	57	1.0	0.7913908802030558	0.8154663903947104	0.7296118280388552	0.4417954897862928	0.31507938099093735	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	3	3	22688	6474	218	62	1.0	0.7394678253965687	0.8301965874617563	0.6805459879992876	0.5284594722905971	0.5716811050660908	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	3	4	23687	5475	229	51	0.9999999999999997	0.7847139263747921	0.8087947811281626	0.7363834759379216	0.3772737639232543	0.5442297559930012	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	4	0	23284	5878	225	55	1.0	0.8070628131572681	0.8290345709966581	0.8131494449091059	0.522294863730798	0.4925861719530076	0	pass	none
