variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	status
explicit_dijet_mass_plane_blind	15	h_delta_r	$\Delta R_{HH}$	0.03133493543288485	0.0033387976797565784	0.02854173157397885	0.03728203184304809	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	16	h_pt_balance	$p_{\mathrm{T}}\ \mathrm{balance}$	0.02354235665137165	0.001353988652655773	0.021475194654150938	0.025050952352815497	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	17	drbb1	$\Delta R_{bb}^{H_1}$	0.05288100207138287	0.0035638967919601012	0.04844967463658552	0.05855396450225592	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	18	drbb2	$\Delta R_{bb}^{H_2}$	0.045019710284479895	0.002164978556622663	0.04207503937637511	0.04821762009316308	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	19	j1_pt	$p_{\mathrm{T}}^{j_1}$	0.04046546798906801	0.0035105975878248256	0.036467509388596796	0.04517026725150623	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	20	abs_j1_eta	$|\eta_{j_1}|$	0.025013207640291246	0.0017158416359657294	0.023490393225167376	0.02819606441375681	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	21	j1_mass	$m_{j_1}$	0.027809832397022477	0.0010078169638997438	0.026837796969609702	0.029442993619235067	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	22	j2_pt	$p_{\mathrm{T}}^{j_2}$	0.02880768866691639	0.0011469898810671903	0.027257833781671	0.03050550159811783	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	23	abs_j2_eta	$|\eta_{j_2}|$	0.02467942711082644	0.0015027056236874444	0.0233549536454527	0.02727909721931353	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	24	j2_mass	$m_{j_2}$	0.028975631010515684	0.0024924650792874266	0.025028964170376443	0.03281180243042075	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	25	j3_pt	$p_{\mathrm{T}}^{j_3}$	0.02634106243651595	0.0007472329515549261	0.02517345456740828	0.02730053944862393	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	26	abs_j3_eta	$|\eta_{j_3}|$	0.02362481706918542	0.0026025263406747254	0.021496540890989846	0.02781651803114495	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	27	j3_mass	$m_{j_3}$	0.02684767191270233	0.0020473943065041807	0.023498037393905494	0.02972747989718368	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	28	j4_pt	$p_{\mathrm{T}}^{j_4}$	0.027940747795353254	0.001637765352589433	0.02549164784602262	0.03000540835217167	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	29	abs_j4_eta	$|\eta_{j_4}|$	0.022008308981926107	0.0015016425824391263	0.02003295775944704	0.023911136034549963	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	30	j4_mass	$m_{j_4}$	0.03188297682484978	0.003493718654358412	0.02584540833991167	0.036498448605290244	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
