evaluation_stage	variant	trial_id	fold	training_members	heldout_members	training_rows	heldout_rows	training_weight_rescale_factor	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	prediction_time_seconds	member_leakage	fit_status	failure_reason
hyperparameter_search	mass_aware	17	4	238	52	46338	10988	0.9763888110014965	0.7552498661240206	0.7845453036712261	0.7420374500112055	0.42504692571851	1.4730902960291132	0.00722740194760263	0	pass	none
hyperparameter_search	mass_aware	18	0	232	58	45559	11767	0.9989684781992881	0.7925459407744982	0.8237222143037867	0.8295458445280544	0.5564045815231247	1.331059796968475	0.009095940040424466	0	pass	none
hyperparameter_search	mass_aware	18	1	232	58	45504	11822	1.0026857730649654	0.7783073012401822	0.8156535332129868	0.817077413395187	0.5525884885973862	1.702156753046438	0.010783702018670738	0	pass	none
hyperparameter_search	mass_aware	18	2	231	59	46147	11179	0.9785203482756778	0.7994059854490657	0.8254541154655556	0.7779408640622697	0.49202313419264343	1.3072319249622524	0.009882012032903731	0	pass	none
hyperparameter_search	mass_aware	18	3	227	63	45756	11570	1.047112520024319	0.7559568212380613	0.8346570995093191	0.7323067851526658	0.5741490309700369	1.17516770795919	0.00981172698084265	0	pass	none
hyperparameter_search	mass_aware	18	4	238	52	46338	10988	0.9763888110014965	0.7637021800697443	0.7901373429153673	0.7527294571690964	0.42984106918000314	1.5719053270295262	0.009398077032528818	0	pass	none
hyperparameter_search	mass_aware	19	0	232	58	45559	11767	0.9989684781992881	0.779256192889537	0.8144922171204872	0.8181391165283617	0.534089704126413	1.19318323105108	0.0056904880329966545	0	pass	none
hyperparameter_search	mass_aware	19	1	232	58	45504	11822	1.0026857730649654	0.7715331534728278	0.798984390475443	0.8121127582715701	0.5191035062207072	1.2472353719640523	0.006414729985408485	0	pass	none
hyperparameter_search	mass_aware	19	2	231	59	46147	11179	0.9785203482756778	0.7854006951439415	0.8153150988287938	0.7628390663077098	0.4640422377289852	1.2024882410187274	0.005653806030750275	0	pass	none
hyperparameter_search	mass_aware	19	3	227	63	45756	11570	1.047112520024319	0.7626980600028713	0.8263820205298585	0.7417005654066966	0.5653962032100668	1.124653291888535	0.006216931971721351	0	pass	none
hyperparameter_search	mass_aware	19	4	238	52	46338	10988	0.9763888110014965	0.7579634959499404	0.7786128500632972	0.745614391887874	0.4108216008389102	0.8214428069768474	0.0054436459904536605	0	pass	none
hyperparameter_search	mass_aware	20	0	232	58	45559	11767	0.9989684781992881	0.7833759046240766	0.819002826692971	0.8226698563649625	0.5459451275388699	1.0988425330724567	0.0092605339596048	0	pass	none
hyperparameter_search	mass_aware	20	1	232	58	45504	11822	1.0026857730649654	0.7782330059113003	0.808416515299315	0.8147288197912883	0.5387878334406588	2.231484982999973	0.026708343997597694	0	pass	none
hyperparameter_search	mass_aware	20	2	231	59	46147	11179	0.9785203482756778	0.7986237141948523	0.8190772297876058	0.7773361958980392	0.477665923608931	1.7651162039255723	0.007947006030008197	0	pass	none
hyperparameter_search	mass_aware	20	3	227	63	45756	11570	1.047112520024319	0.7514656859063498	0.8281156076857338	0.7325573003817827	0.5686339544757638	1.1399935380322859	0.008152417954988778	0	pass	none
hyperparameter_search	mass_aware	20	4	238	52	46338	10988	0.9763888110014965	0.7592040498231528	0.7864618712755117	0.7495427090128788	0.42778934912219424	1.0606189699610695	0.007756521925330162	0	pass	none
hyperparameter_search	mass_aware	21	0	232	58	45559	11767	0.9989684781992881	0.774797983618059	0.8157433535102613	0.8184610089627382	0.5442702757237068	1.1694593569263816	0.008107592933811247	0	pass	none
hyperparameter_search	mass_aware	21	1	232	58	45504	11822	1.0026857730649654	0.7687847471609213	0.8076273027459159	0.8027691827982599	0.5419225266852705	1.1437481170287356	0.008608600008301437	0	pass	none
hyperparameter_search	mass_aware	21	2	231	59	46147	11179	0.9785203482756778	0.7882120429861217	0.8162615584318735	0.7714740139027807	0.4786879038980026	1.133917664992623	0.007740191067568958	0	pass	none
hyperparameter_search	mass_aware	21	3	227	63	45756	11570	1.047112520024319	0.7494708891669514	0.8245465042586494	0.7336103986308975	0.5664856573008803	1.158616601023823	0.008151847054250538	0	pass	none
hyperparameter_search	mass_aware	21	4	238	52	46338	10988	0.9763888110014965	0.7509793684115165	0.7848419440413333	0.7431228941175467	0.4347521792034727	1.2121112769236788	0.00800497701857239	0	pass	none
hyperparameter_search	mass_aware	22	0	232	58	45559	11767	0.9989684781992881	0.7718109543537671	0.8175066665686289	0.8155387357496725	0.5468865172551458	1.9659255570732057	0.011629088083282113	0	pass	none
hyperparameter_search	mass_aware	22	1	232	58	45504	11822	1.0026857730649654	0.7853261597235127	0.8105888003109571	0.8183894932435578	0.5478822654328058	1.2981711409520358	0.011416800902225077	0	pass	none
hyperparameter_search	mass_aware	22	2	231	59	46147	11179	0.9785203482756778	0.794015032521078	0.8202431204195427	0.7736279889930282	0.4865029326954754	1.286181665956974	0.011355253984220326	0	pass	none
hyperparameter_search	mass_aware	22	3	227	63	45756	11570	1.047112520024319	0.745851647391288	0.8255450783072951	0.7195995742018303	0.5657329565983518	1.3406358850188553	0.011452709906734526	0	pass	none
