scope	metric	difference_definition	nominal_difference	difference_mean	difference_std	difference_p2p5	difference_p16	difference_median	difference_p84	difference_p97p5	ratio_mean	ratio_std	ratio_p2p5	ratio_p16	ratio_median	ratio_p84	ratio_p97p5	bootstrap_replicas	bootstrap_seed	bootstrap_unit	selection_reoptimization_inside_bootstrap	validation_payloads_opened	test_payloads_opened
ge4tag	signal_selected_effective_events	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-7.8380600608297755	-7.736961471368494	2.141084553849133	-12.343223161006165	-9.927838364530544	-7.5638850795257895	-5.582937998879606	-3.8801823792057464	0.9978797430394154	0.0005808939719756759	0.9966532236894943	0.99729765135838	0.9979193583995596	0.9984608884513013	0.998919941753525	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	background_selected_effective_events	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.0031807772902903153	-0.2698421501256044	1.3782748246646586	-5.255299792311123	-0.006432366456391722	-0.003382661746322624	-0.0020671513545436684	-0.0011663172294343383	0.9982299286657311	0.0020040318240739006	0.9917504383018247	0.9972971988643037	0.9988877938191805	0.9994369040714547	0.9997216213279965	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	signal_finite_mc_relative_uncertainty	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	1.7827225228306265e-05	1.7580993733015015e-05	4.805374728521412e-06	8.945545571427058e-06	1.2801548141809366e-05	1.7258828616013508e-05	2.235637641974944e-05	2.7741819437974636e-05	1.0010619444438855	0.00029141866049773034	1.0005404669648386	1.000770445240361	1.0010419470211749	1.0013539190105154	1.0016776002462644	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	background_finite_mc_relative_uncertainty	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.00032214588631829244	0.0004439573688635201	0.0004298149778139708	5.680608925991981e-05	0.0001294035019647444	0.00029105189944628185	0.0007757654237410793	0.0016470019131397658	1.000887732334523	0.0010094795528626569	1.0001392184033946	1.0002816669239796	1.000556567396797	1.0013541461871496	1.0041504782978958	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	signal_over_background	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-4.012449884327506e-08	5.579768983180507e-08	4.5136827887329785e-07	-1.0787612182715158e-07	-5.9060865687580426e-08	-3.018631586562337e-08	-6.949401125489844e-09	1.5950185716908738e-06	0.9992340685804835	0.0015646890277307636	0.9975200108281497	0.9982199094051273	0.9989537507792585	0.9998099178402399	1.0041273052963136	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	asimov_significance_stat_only	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-5.946659912808849e-05	-4.486111609040586e-05	7.475690376120868e-05	-0.00012461162866871916	-8.220243689609815e-05	-5.267888577968616e-05	-2.781208825432674e-05	0.00016950941928422955	0.9987409413783392	0.0009379872700707197	0.9973084903359122	0.9979957429505485	0.9986672882532275	0.9993370537927219	1.001277818336541	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	signal_physical_efficiency	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.0209776654065289	0.02101502080704232	0.0011202208315210574	0.018820966337849056	0.019880729024587783	0.02101845698867849	0.02214226315527966	0.023227914225944935	1.0355933706709788	0.0019507854498192225	1.0318387109531175	1.0336138320405266	1.0356310919904046	1.0375646221461814	1.0394342656227205	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	background_physical_efficiency	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.01959659929548563	0.019738148587373737	0.00729732824289648	0.006953421846085356	0.01244263802631003	0.019208228693494894	0.027075173990493247	0.03547926105227465	1.0725207135522243	0.028863507816377393	1.0235682612056125	1.0445931826123556	1.0693721231410342	1.1002124407920522	1.1374588640181398	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	background_rejection	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.23811564267099383	-0.2492261663811273	0.10867402041177641	-0.5209298915698272	-0.3532518225077772	-0.23403563640776226	-0.1465460084618625	-0.07842861154185116	0.933048747005509	0.024770814924720542	0.8791526742569218	0.9089153722775446	0.9351281732384491	0.9573104858407647	0.976974412158087	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	signal_selected_signed_yield	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	6.563139902839339	6.574040054322655	0.3515972466056744	5.892771633573465	6.22123513874018	6.575781702025694	6.925206924365018	7.26715913271709	1.0355933706709788	0.0019507854498192177	1.0318387109531175	1.0336138320405266	1.0356310919904044	1.0375646221461814	1.0394342656227207	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	background_selected_signed_yield	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	3438962.596794747	3465517.572253565	1311454.7319193077	1212514.8661880693	2169893.5241338476	3368610.8963908926	4746361.238519548	6242213.434993762	1.0725207135522243	0.028863507816377393	1.0235682612056125	1.0445931826123558	1.0693721231410342	1.1002124407920522	1.1374588640181398	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	signal_selected_sumw2	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.08533225628377883	0.0854610598515666	0.004984804093346687	0.07561104886445774	0.08047596244135662	0.08554184036582813	0.09032685258774498	0.09537452506008334	1.0351415853744952	0.0020983849098454646	1.0309851777559311	1.0330157451061677	1.0351585577804148	1.0372801965679563	1.039211819176366	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	background_selected_sumw2	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	1704753083581.0938	1713487981178.6572	782285241918.669	436756845815.91693	941509337273.4806	1668949039506.5176	2492336226083.184	3486451306732.343	1.0438405363807224	0.022743873036982824	1.009689241957233	1.0219358616623728	1.0404650215080402	1.0648885825966963	1.0985639764037147	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	signal_selected_effective_events	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	504.7124060215792	505.6245110327597	25.131624475193682	457.65819292898726	480.2611711679676	505.4099738726454	530.3906817389283	555.3644831519977	1.0360454369670242	0.0018386377631677325	1.032546013808855	1.0341749712726958	1.0360520460943006	1.0378714298019014	1.039658423371169	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	background_selected_effective_events	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	5.794022613940832	5.9038796334867545	2.1915954560709845	2.1017526638454593	3.752544937817234	5.7509115145169964	8.095571799435657	10.599816219045648	1.1021050197141684	0.0380158545462547	1.035707503039986	1.0648362522100208	1.098854396823291	1.1382861700457827	1.1869697978992693	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	signal_finite_mc_relative_uncertainty	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.00014788689105190746	-0.00014816984089639507	7.513701164424681e-06	-0.0001629518588376315	-0.000155672788910257	-0.00014816551756112635	-0.00014047151288837205	-0.00013371204373941462	0.9824514805713552	0.0008717120701085342	0.9807417458740775	0.981585696959954	0.982447187308507	0.9833383763728646	0.9841137341290621	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	background_finite_mc_relative_uncertainty	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.006182967713565968	-0.006244891018459808	0.0023535905557650464	-0.011564971142092675	-0.008491555657211046	-0.005993058836516137	-0.003944211054285703	-0.0022920429917202933	0.9529709709069635	0.01624871137745953	0.9178678708018981	0.9372906194953552	0.9539594731910783	0.9690776687707666	0.9826105894210293	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	signal_over_background	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-1.2465816625978662e-07	-1.3567904095649816e-07	1.1296808518692414e-07	-4.0455661656972164e-07	-2.426021441027762e-07	-1.2037566696482238e-07	-2.9300176536193942e-08	4.066736252972744e-08	0.9662584464079127	0.02569282580288764	0.9107116579259098	0.9409587305824224	0.9684806357701843	0.9916828523116404	1.0110204543352608	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
combined	asimov_significance_stat_only	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	2.025148153633749e-05	-1.6921289121667477e-06	0.00036667527382956683	-0.0008187977698690706	-0.0003555910546712393	3.968605699912128e-05	0.00035240115500964294	0.0006179069891563046	1.000236738364782	0.013428273983064048	0.9712118595279245	0.9868093555947594	1.0014984292549742	1.0136237779890964	1.0234394116617138	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
