campaign	source_tag	shard	seed	n_events	remote_bundle_path	structured_metadata_proven	payload_sha256	payload_equivalence_scope	status
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard030_seed86030	30	86030	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard030_seed86030_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard031_seed86031	31	86031	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard031_seed86031_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard032_seed86032	32	86032	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard032_seed86032_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard033_seed86033	33	86033	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard033_seed86033_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard034_seed86034	34	86034	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard034_seed86034_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard035_seed86035	35	86035	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard035_seed86035_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard036_seed86036	36	86036	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard036_seed86036_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard037_seed86037	37	86037	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard037_seed86037_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard038_seed86038	38	86038	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard038_seed86038_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard039_seed86039	39	86039	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard039_seed86039_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard040_seed86040	40	86040	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard040_seed86040_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard041_seed86041	41	86041	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard041_seed86041_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
