index_source	index_ordinal	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	content_opened	content_extracted	status
scaleout	8	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	./parquet/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_hh4b_candidates_v2.parquet	regular_file	600	False	False	payload_identified_and_protected
scaleout	9	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	./hepmc/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773.hepmc	regular_file	2434516917	False	False	payload_identified_and_protected
scaleout	9	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	./root/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_delphes.root	regular_file	781543412	False	False	payload_identified_and_protected
scaleout	9	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	./parquet/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_event_summary.parquet	regular_file	237223	False	False	payload_identified_and_protected
scaleout	9	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	./parquet/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_hh4b_candidates_v2.parquet	regular_file	600	False	False	payload_identified_and_protected
scaleout	10	background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	./hepmc/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909.hepmc	regular_file	2734664116	False	False	payload_identified_and_protected
scaleout	10	background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	./root/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_delphes.root	regular_file	926683640	False	False	payload_identified_and_protected
scaleout	10	background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	./parquet/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_event_summary.parquet	regular_file	245094	False	False	payload_identified_and_protected
scaleout	10	background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	./parquet/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_hh4b_candidates_v2.parquet	regular_file	49689	False	False	payload_identified_and_protected
scaleout	11	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_event_summary.parquet	regular_file	246022	False	False	payload_identified_and_protected
scaleout	11	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	./parquet/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_hh4b_candidates_v2.parquet	regular_file	51911	False	False	payload_identified_and_protected
scaleout	11	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	./root/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root	regular_file	793167294	False	False	payload_identified_and_protected
scaleout	11	background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10277561	False	False	payload_identified_and_protected
scaleout	12	background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./root/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_delphes.root	regular_file	791880628	False	False	payload_identified_and_protected
scaleout	12	background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./parquet/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_event_summary.parquet	regular_file	245908	False	False	payload_identified_and_protected
scaleout	12	background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./parquet/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_hh4b_candidates_v2.parquet	regular_file	50361	False	False	payload_identified_and_protected
scaleout	12	background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	./source/unweighted_events.lhe.gz	regular_file	10278672	False	False	payload_identified_and_protected
