index_source	index_ordinal	sample_class	process_or_mode	campaign	member_index	member_name	member_type	size_bytes	safe_relative_path	event_payload	nested_archive	artifact_types	allowlist_candidate	content_opened	content_extracted	status
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	18	./cards/proc_card_mg5.dat	regular_file	2037	True	False	False	proc_card	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	19	./cards/run_card.dat	regular_file	10048	True	False	False	run_card	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	20	./cards/pythia8_card_default.dat	regular_file	4434	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	21	./cards/pythia_card_default.dat	regular_file	350	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	22	./source	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	23	./source/unweighted_events.lhe.gz	regular_file	11725729	True	True	False	none	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	2	./parquet	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	3	./parquet/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_hh4b_candidates_v2.parquet	regular_file	600	True	True	False	importance_sampling_record	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	4	./parquet/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_event_summary.parquet	regular_file	237299	True	True	False	generator_stdout_or_summary,importance_sampling_record	False	False	False	archive_header_indexed_only
canary	5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	5	./logs	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
