index_source	index_ordinal	sample_class	process_or_mode	campaign	representative_locator	expected_size_bytes	copied_size_bytes	bundle_sha256	archive_members	regular_file_members	event_payload_members	provenance_named_members	allowlist_candidate_members	unsafe_member_names	temporary_copy_removed	event_payload_content_opened	event_payload_extracted	status
scaleout	25	background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_bundle.tar.gz	848633845	848633845	3110569a0cd6b9c52b538734d66bb16ba0b112b8e38002541a02a07b1ed621e0	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	26	background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_bundle.tar.gz	852990950	852990950	a930f37b2c9e9ffbd973d82e92591c145639d88f10b2854a1650f8648233dcb1	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	27	background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_bundle.tar.gz	847823885	847823885	18ad83a6977d658d72c2404b8be896efc1c98bf81a44a2852d4b1caabf888c65	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	28	background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_bundle.tar.gz	843393738	843393738	fb7e3718513642e9a579dcafdf662f319133681f40873c9f713839ff6575c72c	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	29	background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_bundle.tar.gz	791038433	791038433	4893813a919d0d380a4e6c9554439c65dcc7ca806353b8d10f896c3277eec65f	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	30	background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_bundle.tar.gz	794296132	794296132	7fbaca008f54929b377ececb96c0d4c6b80032e0ed4052a79e7255c25dff50fa	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	31	background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_bundle.tar.gz	773016067	773016067	23e3697b1f17de15b1d2177b7ebbcba68a5e55d415c30b47e3a2cda6186443a8	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	32	background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_bundle.tar.gz	772629511	772629511	dfb754f753e6f9115fa20824d1ec2c5a7f8166941353e5fb8c5cbfd2beb87614	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	33	background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_bundle.tar.gz	719774097	719774097	72735fa750c50b43578b0d566690c399b0c61354b86208802920c905eaafc2d8	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	34	background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_bundle.tar.gz	721126187	721126187	2e1945cfec98a97e6b01ab8af5441a036b6678725689b6278fa7c770980d3ffb	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
