sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical	p2_in_target_region	bg_amp	reasons
ZH	49	277	0.9998039603233337	True	92.74213236440309	128.80968569356045	True	True	0.0	500.0	500.0	False	False	False	0.0001502329274922771	secondary_invalid_or_sentinel
ZH	50	285	0.999754786491394	False	95.0	125.0	False	False	0.0	500.0	500.0	False	False	False	0.01402445263872667	primary_fit_failed,secondary_invalid_or_sentinel
ZH	51	291	0.9991062879562378	True	65.52796762231876	248.2861663442524	False	False	0.007620872239883514	121.4956768054613	67.1014500997374	True	True	False	0.0008929815773219142	primary_nonphysical,one_or_more_parameters_at_bound
ZH	53	302	0.9993720054626465	True	88.95151924029473	126.39854009074735	True	True	0.002558729571888391	185.78465657912147	190.68629535997476	True	True	False	0.0015624353732315765	one_or_more_parameters_at_bound
ZH	54	310	0.9991458058357239	True	91.61384884108506	125.25167755108716	True	True	0.007455664837084454	142.99442690807336	93.12893387180749	True	True	False	0.00016987523745806045	one_or_more_parameters_at_bound
ZH	57	332	0.9998128414154053	True	88.53979530522547	221.9500631423891	False	False	0.0	500.0	500.0	False	False	False	0.00020292214413989947	primary_nonphysical,secondary_invalid_or_sentinel
ZH	58	333	0.9978120923042297	True	93.51452928046132	120.23363283158392	True	True	0.004342551219130721	138.4221700513877	122.32061726366281	True	True	False	0.0004430953406301862	one_or_more_parameters_at_bound
ZH	59	335	0.9992725849151611	True	96.77162360685631	126.32189311008376	True	True	0.0	500.0	500.0	False	False	False	6.232725806857316e-05	secondary_invalid_or_sentinel
ZH	62	355	0.9997488260269165	False	95.0	145.0	False	False	0.0	500.0	500.0	False	False	False	0.014089596237114048	primary_fit_failed,secondary_invalid_or_sentinel
ZH	63	364	0.9989203810691833	True	118.67329113966731	206.38834230082352	False	False	0.021497998087513667	92.58583267744667	123.96165200276532	True	True	True	0.0008253936408348427	primary_nonphysical,one_or_more_parameters_at_bound
ZH	72	426	0.9996024370193481	True	92.3057421004671	224.0678695793356	False	False	0.003945329475978413	121.9007626347909	93.51685826718408	True	True	True	0.0007010028590779489	primary_nonphysical,one_or_more_parameters_at_bound
ZH	73	427	0.9985896348953247	True	87.72647658610293	124.81581505682557	True	True	0.0	500.0	500.0	False	False	False	0.0003315317086239424	secondary_invalid_or_sentinel
ZH	75	437	0.9991011619567871	True	86.46498355426017	119.1205350668118	True	True	13.83127712881486	109.75615351591465	110.41586082723646	True	True	False	2.944596510909869e-05	one_or_more_parameters_at_bound
ZH	76	438	0.9997081160545349	True	132.07570362560548	149.07692477020115	True	False	0.005523953448398457	101.31033003894439	130.69880764417482	True	True	True	0.0008387391172570101	one_or_more_parameters_at_bound
