comparison	model	reference_model	metric	nominal_difference	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	fraction_valid_difference_greater_than_zero	interval_includes_zero_68	interval_includes_zero_95
mass_plane_blind_scan_n3_n3_minus_inclusive_bdt	mass_plane_blind_scan_n3_n3	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.054658960926552265	0.056226349947638775	0.0556477260397835	0.006361937501280519	0.049953697055325624	0.06259315395280365	0.045184380581660306	0.06990946288875069	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_plane_blind_scan_n3_n3_minus_inclusive_bdt	mass_plane_blind_scan_n3_n3	inclusive_bdt	signal_over_background	-6.489461867041391e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_plane_blind_scan_n3_n3_minus_inclusive_bdt	mass_plane_blind_scan_n3_n3	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.3787549933128	21.475943220289384	169.6848623306768	209.76757036954783	150.83110962854892	236.4425412094307	1000	0	{}	1.0	False	False
mass_plane_blind_scan_n4_n4_minus_inclusive_bdt	mass_plane_blind_scan_n4_n4	inclusive_bdt	combined_nominal_asimov_ZA	0.0028485162896677296	0.0042312008560128666	0.004034734003400358	0.006367122933389294	-0.0019349480844169065	0.01028521183474917	-0.007694516901339805	0.016086046400239036	1000	0	{}	0.754	True	True
mass_plane_blind_scan_n4_n4_minus_inclusive_bdt	mass_plane_blind_scan_n4_n4	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.055015620139378225	0.057330123594117294	0.05665879458540398	0.006822878126889286	0.050713736407524274	0.06420135358595157	0.04630921558406253	0.07298220706492363	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_plane_blind_scan_n4_n4_minus_inclusive_bdt	mass_plane_blind_scan_n4_n4	inclusive_bdt	signal_over_background	-6.489461867041391e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_plane_blind_scan_n4_n4_minus_inclusive_bdt	mass_plane_blind_scan_n4_n4	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289384	169.68486233067685	209.76757036954777	150.83110962854892	236.4425412094307	1000	0	{}	1.0	False	False
mass_plane_blind_fixed5_n5_minus_inclusive_bdt	mass_plane_blind_fixed5_n5	inclusive_bdt	combined_nominal_asimov_ZA	0.0038746141004915025	0.006148604082320972	0.0062627240540735485	0.006492099861320729	-0.00033416389475901396	0.012211899190330479	-0.006326663094796685	0.01964297941527318	1000	0	{}	0.827	True	True
mass_plane_blind_fixed5_n5_minus_inclusive_bdt	mass_plane_blind_fixed5_n5	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.056400861531080246	0.05991123194642689	0.05917044608681083	0.007025649966534676	0.05307128078372683	0.06667884621425897	0.04868332646735876	0.07505508818362061	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_plane_blind_fixed5_n5_minus_inclusive_bdt	mass_plane_blind_fixed5_n5	inclusive_bdt	signal_over_background	-6.489461867041391e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_plane_blind_fixed5_n5_minus_inclusive_bdt	mass_plane_blind_fixed5_n5	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289384	169.6848623306768	209.76757036954783	150.83110962854892	236.4425412094307	1000	0	{}	1.0	False	False
mass_plane_blind_scan_n6_n6_minus_inclusive_bdt	mass_plane_blind_scan_n6_n6	inclusive_bdt	combined_nominal_asimov_ZA	0.0030438279186909	0.005868661167225577	0.005961910008412476	0.006639138619421275	-0.0008035316538388709	0.012186213804450747	-0.007110371370416504	0.018375546718453668	1000	0	{}	0.804	True	True
mass_plane_blind_scan_n6_n6_minus_inclusive_bdt	mass_plane_blind_scan_n6_n6	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05540926769914763	0.05961163123201336	0.059092746160226084	0.0068301874612385505	0.052950945266556845	0.06638163032965214	0.04771850669573888	0.07540340630403676	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
