signal_precut_yield	background_precut_yield	signal_postcut_yield	background_postcut_yield	signal_postcut_sumw2	background_postcut_sumw2	signal_precut_rows	background_precut_rows	signal_postcut_rows	background_postcut_rows	signal_physical_efficiency	background_physical_efficiency	signal_raw_efficiency	background_raw_efficiency	signal_over_background	signal_over_sqrt_background	asimov_significance_stat_only	signal_effective_events	background_effective_events	signal_mc_relative_uncertainty	background_mc_relative_uncertainty	replica
756.8692467696529	63220908154.31627	419.1984611054519	20553984493.80749	5.5149065018567445	2.239682515772821e+16	90703	938384	47567	485524	0.5538584939137203	0.3251137178168519	0.5244258734551228	0.5174043888216338	2.039499743865955e-08	0.0029239616174867476	0.002923961604875394	31864.066912832634	18862.77521909856	0.005602081172106951	0.0072811035123915655	33
755.9857568060299	57785195621.32093	418.92299955829776	18861174954.234013	5.503322891765954	2.25051151882275e+16	90802	960091	47810	488383	0.5541413919333729	0.3264015073659252	0.5265302526376071	0.5086840726556129	2.2210864411936156e-08	0.003050351117860195	0.003050351116701068	31889.18459091298	15807.247271514309	0.005599874483661154	0.007953748906018139	34
748.3391339417396	63110400636.0304	415.57137105713855	20324606502.229843	5.454311008246741	2.1817943230997284e+16	90252	959171	47521	489134	0.5553249218281453	0.3220484468074555	0.5265368080485751	0.5099549506813696	2.044671177331505e-08	0.002914973077962586	0.002914973059592713	31662.947745589463	18933.481726343347	0.005619844875382932	0.0072674952666536745	35
755.5038287273755	61899637155.3077	415.19918107333507	20668624912.790478	5.458598367896582	2.3945414806799156e+16	90552	913196	47208	482230	0.5495659522635724	0.33390542921814537	0.5213358070500927	0.5280684540887169	2.0088379503969568e-08	0.002888023323856394	0.0028880232868160956	31581.433244446052	17840.244540859847	0.005627092862361994	0.007486858040263321	36
749.7823455172663	62555886225.94259	414.9296765087005	20580311771.192936	5.443057413470063	2.29037678956411e+16	90317	953343	47515	490457	0.5534001687148892	0.3289908114619286	0.5260914335064274	0.514460168061233	2.016148643041908e-08	0.0028923345315693245	0.002892334504754645	31630.501640778206	18492.55696832789	0.005622726513823747	0.007353625647285645	37
754.3837636846774	59688023248.830284	416.5021593888141	19452153898.38923	5.472990086931468	2.2366336667177876e+16	90374	950491	47407	487581	0.5521091246111529	0.3258971036332726	0.5245645871600239	0.5129780292501455	2.1411621641719756e-08	0.0029862998258367397	0.002986299823126493	31696.393748231058	16917.669483259328	0.005616879065480797	0.007688289567633467	38
753.0357665407469	58234951973.04452	417.5598130055788	19293523044.06936	5.48259489070886	2.335655621520909e+16	90589	939098	47744	485595	0.5545019659872751	0.3313048674445519	0.5270397068076698	0.517086608639354	2.1642486551150266e-08	0.0030061657700922047	0.003006165775345255	31801.765571395503	15937.282363983259	0.005607565873931657	0.007921234428575563	39
756.8243198989694	59622335509.200615	418.91846344773705	19552688653.855877	5.506539930478268	2.247224036017044e+16	90729	939209	47643	485324	0.5535214083813528	0.3279423472238622	0.5251132493469564	0.5167369563111086	2.1425107864392066e-08	0.0029958927326847254	0.0029958927487250945	31869.86405856693	17012.439679677973	0.005601571638117428	0.00766684531026891	40
755.9901195881497	62033208630.70242	420.3198970323705	20531639975.85264	5.526820954831768	2.3225555832828864e+16	90627	934488	47829	484674	0.5559859661411362	0.33097820391787386	0.527756628819226	0.5186519249043327	2.047181313946235e-08	0.002933378664755838	0.0029333786642320447	31965.720852030056	18150.18952106972	0.005593166511814175	0.007422657436910311	41
751.861295608562	59033349481.90606	414.31110706420793	19881631040.11226	5.441381782391725	2.3301639277953296e+16	90548	934591	47401	485459	0.5510472602913566	0.3367864302906623	0.5234903034854442	0.5194347045927041	2.083888923541097e-08	0.002938330013649169	0.0029383300181240104	31545.97495662586	16963.5813214715	0.0056302544549580525	0.0076778783619809	42
754.9058070272123	62069811488.42958	416.2508015691451	19975932441.368755	5.466510214699753	2.1829967219601084e+16	90532	949149	47497	487835	0.5513943563480105	0.32183008071633123	0.5246432200768789	0.5139709360701007	2.0837615605222958e-08	0.0029451102183897606	0.0029451101972742754	31695.674754441552	18279.362167059666	0.005616942772568489	0.007396384523997024	43
752.1403577074532	57742375168.06585	413.69112013423563	19189933613.644943	5.433321767228367	2.236237854576314e+16	90333	951042	47314	488465	0.5500185116979746	0.3323371017868667	0.5237731504544297	0.5136103347696527	2.1557715022009343e-08	0.0029863414531814143	0.0029863414517967333	31498.28966695272	16467.548447160636	0.005634514666879882	0.0077926563586604184	44
752.6374457427571	61539162738.818756	414.28314877879814	20086297645.189796	5.441297214462385	2.2554895148990572e+16	90623	950692	47451	486218	0.5504418510162666	0.32639861758339145	0.5236087968837932	0.5114358803902841	2.062516229206677e-08	0.0029231245574609294	0.0029231245499866635	31542.207785654533	17887.8842231822	0.005630590663159299	0.007476881753348194	45
757.9491214822219	62902261034.45252	417.46816876166247	20377603459.39194	5.488863799059878	2.226883868719198e+16	90928	941726	47466	485776	0.5507865329341297	0.3239566133915412	0.5220174203765616	0.5158358163627212	2.0486617555081208e-08	0.0029244675951086	0.0029244676180218204	31751.502370867023	18646.985978081262	0.0056120025577117835	0.007323112026459782	46
757.2457945775448	60697638250.15145	417.9317516441458	20025978629.61058	5.491510109097106	2.2508353753336612e+16	90937	959149	47760	490939	0.5519102973391925	0.3299301127183579	0.5251987639794583	0.5118485240562207	2.086947955822685e-08	0.0029533063077966434	0.002953306289159319	31806.72448239598	17817.37680456395	0.0056071287257423615	0.0074916610086892725	47
754.770422435893	61058800061.96867	417.9629010859065	19870644824.271614	5.492226785516955	2.2660306511123816e+16	90573	955643	47684	488623	0.5537616322285158	0.3254345778840211	0.5264703609243373	0.5113028610056266	2.1034189115764012e-08	0.0029650481791725285	0.00296504817983807	31807.314866315064	17424.41239876991	0.005607076687806951	0.007575667924195157	48
