sample,version,event,mbb1,mbb2,mbb_avg,mass_distance_hh,in_hh_window_90_150
vbf_hh4b_smoke1000,R05,855,97.33412306464803,110.30309668004615,103.81860987234708,42.36278025530582,True
vbf_hh4b_smoke1000,R05,858,116.22579954324571,127.95512500274657,122.09046227299615,11.729325459500856,True
vbf_hh4b_smoke1000,R05,881,80.46115850204663,115.72122136451472,98.09118993328067,53.81762013343865,False
vbf_hh4b_smoke1000,R05,889,109.13176915525516,120.37236044661016,114.75206480093266,20.495870398134684,True
vbf_hh4b_smoke1000,R05,918,75.80228486197463,141.07182745338227,108.43705615767846,65.26954259140764,False
vbf_hh4b_smoke1000,R05,921,150.8241264503509,281.1134948207231,215.96881063553698,181.93762127107397,False
vbf_hh4b_smoke1000,R05,926,219.0892367494819,242.7989625544977,230.9440996519898,211.8881993039796,False
vbf_hh4b_smoke1000,R05,954,72.53318635202024,126.24511876614537,99.3891525590828,53.71193241412513,False
vbf_hh4b_smoke1000,R05,958,89.04555631270986,138.24960277417355,113.64757954344171,49.20404646146369,False
vbf_hh4b_smoke1000,R05,961,97.3339889566662,143.88765961777713,120.61082428722167,46.55367066111093,True
vbf_hh4b_smoke1000,R05,964,117.61160528467664,133.90832552929655,125.7599654069866,16.296720244619905,True
vbf_hh4b_smoke1000,R05,980,143.58406792815063,246.82175824219775,195.2029130851742,140.40582617034838,False
vbf_hh4b_smoke1000,R05,989,132.14913267209795,169.62193739315686,150.8855350326274,51.771070065254804,False
vbf_hh4b_smoke1000,R05,990,117.14048134946546,181.15881595743025,149.14964865344785,64.01833460796479,False
vbf_hh4b_smoke1000,R05,994,104.08823700122807,115.1538135465454,109.62102527388673,30.75794945222654,True
vbf_hh4b_smoke1000,R05,998,101.36600155890314,120.37965035313927,110.8728259560212,28.254348087957595,True
vbf_hh4b_smoke1000,AK4AK8,1,118.89331839630147,361.3872528399139,240.1402856181077,242.49393444361243,False
vbf_hh4b_smoke1000,AK4AK8,7,137.9961066511451,249.67995638160286,193.83803151637397,137.67606303274798,False
vbf_hh4b_smoke1000,AK4AK8,8,123.88829420637677,128.02931083258983,125.9588025194833,4.141016626213059,True
vbf_hh4b_smoke1000,AK4AK8,10,112.63836196287649,125.69456659452916,119.16646427870282,13.056204631652676,True
vbf_hh4b_smoke1000,AK4AK8,11,92.33284003509456,125.15364009955861,108.74324006732658,32.82080006446405,True
vbf_hh4b_smoke1000,AK4AK8,35,75.59948675029418,135.72046068109597,105.65997371569507,60.120973930801796,False
vbf_hh4b_smoke1000,AK4AK8,36,94.1656873127581,108.83086310851637,101.49827521063723,47.00344957872554,True
vbf_hh4b_smoke1000,AK4AK8,38,118.09831160549156,124.78850283413857,121.44340721981507,7.113185560369871,True
vbf_hh4b_smoke1000,AK4AK8,42,125.46304483766536,183.97566066612956,154.71935275189747,59.43870550379492,False
vbf_hh4b_smoke1000,AK4AK8,55,107.17567475772543,149.2754270029188,128.22555088032212,42.09975224519337,True
vbf_hh4b_smoke1000,AK4AK8,73,86.47423962722594,130.67166290375812,108.57295126549204,44.19742327653218,False
vbf_hh4b_smoke1000,AK4AK8,78,112.84636530310615,172.61686985409293,142.73161757859953,59.77050455098677,False
vbf_hh4b_smoke1000,AK4AK8,83,72.20177547300496,144.20286691877112,108.20232119588803,72.00109144576616,False
vbf_hh4b_smoke1000,AK4AK8,90,110.3437135143056,128.02496769468496,119.18434060449528,17.681254180379355,True
vbf_hh4b_smoke1000,AK4AK8,91,91.33682733081577,99.0876750065996,95.21225116870768,59.57549766258464,True
vbf_hh4b_smoke1000,AK4AK8,122,116.33682288474338,125.92336364782012,121.13009326628176,9.58654076307674,True
vbf_hh4b_smoke1000,AK4AK8,133,57.74014455755822,90.17353884821559,73.9568417028869,102.0863165942262,False
vbf_hh4b_smoke1000,AK4AK8,136,122.65019191247102,205.287242304129,163.9687171083,82.63705039165798,False
vbf_hh4b_smoke1000,AK4AK8,150,104.30784011015405,181.48986134367144,142.89885072691274,77.18202123351739,False
vbf_hh4b_smoke1000,AK4AK8,151,107.46460417027781,128.1444853579949,117.80454476413635,20.6798811877171,True
vbf_hh4b_smoke1000,AK4AK8,166,127.11107123396188,314.46918852150503,220.79012987773345,191.5802597554669,False
vbf_hh4b_smoke1000,AK4AK8,168,103.92920014383115,136.32771967670493,120.12845991026805,32.39851953287378,True
vbf_hh4b_smoke1000,AK4AK8,177,51.73110231570271,66.77720160450957,59.25415196010614,131.49169607978772,False
vbf_hh4b_smoke1000,AK4AK8,192,125.82322009858538,223.98586531880898,174.9045427086972,99.80908541739436,False
vbf_hh4b_smoke1000,AK4AK8,199,96.83991220241133,201.33061663153876,149.08526441697504,104.49070442912743,False
vbf_hh4b_smoke1000,AK4AK8,204,82.34931360637633,130.0199434749191,106.18462854064771,47.670629868542775,False
