member_index	remote_bundle_path	remote_bundle_uri	expected_bundle_size_bytes	xrdcp_attempted	xrdcp_return_code	xrdcp_status	xrdcp_failure_text	local_bundle_size_bytes	bundle_size_match	outer_archive_members_inspected	outer_requested_member	outer_exact_matches	nested_archive_used	nested_archive_members_inspected	nested_requested_member	nested_exact_matches	root_file_extracted	root_file_deleted	nested_archive_deleted	outer_bundle_deleted	temporary_files_remaining	extraction_status
414	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	858006894	True	0	pass		858006894	True	23	root/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
428	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	961579902	True	0	pass		961579902	True	23	root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
429	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	958106595	True	0	pass		958106595	True	23	root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
443	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	903935916	True	0	pass		903935916	True	23	root/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
444	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	909282663	True	0	pass		909282663	True	23	root/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
518	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	846981639	True	0	pass		846981639	True	23	root/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
519	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	850787671	True	0	pass		850787671	True	23	root/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
526	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	854468021	True	0	pass		854468021	True	23	root/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_delphes.root	1	False	0		0	True	True	True	True	0	pass
543	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz	1012172139	True	0	pass		1012172139	True	23	root/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_delphes.root	1	False	0		0	True	True	True	True	0	pass
544	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz	1012173681	True	0	pass		1012173681	True	23	root/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_delphes.root	1	False	0		0	True	True	True	True	0	pass
