representative_index	member_index	sample_class	process_or_mode	dataset_split	candidate_rows	zero_row_4b_candidate_file	resolution_method	layout_rule	bundle_campaign	schema_stratum_key	representative_selection_reasons	remote_bundle_path	root_container_member	root_archive_member	root_basename	archive_depth
36	518	background	zbbbb	train	314	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_pilots_20260720_retry1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_pilots_20260720_retry1"",""zbbbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	1
37	519	background	zbbbb	train	295	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_proven111_20260720_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_proven111_20260720_v1"",""zbbbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz		root/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	1
38	526	background	zbbbb	train	272	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavea_zbbbb_remaining15_20260721_v1"",""zbbbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz		root/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_delphes.root	zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_delphes.root	1
39	543	background	tth_hbb	train	1189	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_pilots10k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_pilots10k_20260721_v1"",""tth_hbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz		root/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_delphes.root	tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_delphes.root	1
40	544	background	tth_hbb	train	1246	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_scale400k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_scale400k_20260721_v1"",""tth_hbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz		root/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_delphes.root	tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_delphes.root	1
41	547	background	tttt	train	1853	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_pilots10k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_pilots10k_20260721_v1"",""tttt""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_bundle.tar.gz		root/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_delphes.root	tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_delphes.root	1
42	548	background	tttt	train	2016	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_scale400k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_scale400k_20260721_v1"",""tttt""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz		root/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_delphes.root	tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_delphes.root	1
43	551	background	ttz_zbb	train	1072	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_scale400k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_scale400k_20260721_v1"",""ttz_zbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz		root/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_delphes.root	ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_delphes.root	1
44	554	background	ttz_zbb	validation	1104	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_pilots10k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_pilots10k_20260721_v1"",""ttz_zbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_bundle.tar.gz		root/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_delphes.root	ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_delphes.root	1
45	555	background	vbf_hbb	train	7	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_scale400k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_scale400k_20260721_v1"",""vbf_hbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_bundle.tar.gz		root/vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_delphes.root	vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_delphes.root	1
46	559	background	vbf_hbb	validation	6	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_waveb_priority_pilots10k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_waveb_priority_pilots10k_20260721_v1"",""vbf_hbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_bundle.tar.gz		root/vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_delphes.root	vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_delphes.root	1
47	560	background	ttw	train	48	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_pilot40k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_pilot40k_20260721_v1"",""ttw""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_bundle.tar.gz		root/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_delphes.root	ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_delphes.root	1
48	561	background	ttw	train	65	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_scaleout180k_20260721_v2	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_scaleout180k_20260721_v2"",""ttw""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_bundle.tar.gz		root/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_delphes.root	ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_delphes.root	1
49	566	background	wh_hbb	train	5	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_pilot40k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_pilot40k_20260721_v1"",""wh_hbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_bundle.tar.gz		root/wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_delphes.root	wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_delphes.root	1
50	567	background	wh_hbb	train	7	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_scaleout180k_20260721_v2	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_scaleout180k_20260721_v2"",""wh_hbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_bundle.tar.gz		root/wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_delphes.root	wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_delphes.root	1
51	572	background	ww	train	0	True	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_scaleout180k_20260721_v2	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_scaleout180k_20260721_v2"",""ww""]"	"[""background_process_coverage"",""primary_schema_stratum"",""zero_row_background_campaign_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_bundle.tar.gz		root/ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_delphes.root	ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_delphes.root	1
52	575	background	ww	validation	0	True	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_pilot40k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_pilot40k_20260721_v1"",""ww""]"	"[""primary_schema_stratum"",""zero_row_background_campaign_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_bundle.tar.gz		root/ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_delphes.root	ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_delphes.root	1
53	576	background	wz_zbb	train	2	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_pilot40k_20260721_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_pilot40k_20260721_v1"",""wz_zbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wz_zbb_run2_frozen_v2_wavec1_pilot_shard3203_10kevt_bundle.tar.gz		root/wz_zbb_run2_frozen_v2_wavec1_pilot_shard3203_10kevt_delphes.root	wz_zbb_run2_frozen_v2_wavec1_pilot_shard3203_10kevt_delphes.root	1
54	577	background	wz_zbb	train	2	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	unified_background_5m_wavec1_scaleout180k_20260721_v2	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""unified_background_5m_wavec1_scaleout180k_20260721_v2"",""wz_zbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wz_zbb_run2_frozen_v2_wavec1_scaleout_shard3501_10kevt_bundle.tar.gz		root/wz_zbb_run2_frozen_v2_wavec1_scaleout_shard3501_10kevt_delphes.root	wz_zbb_run2_frozen_v2_wavec1_scaleout_shard3501_10kevt_delphes.root	1
