sample_class	process_or_mode	btag_bin	rows	yield	sumw2	negative_rows	neff
background	vbf_hbb	3	325	1460.3794498021014	6562.188436896411	0	324.9995268976081
background	vbf_hbb	ge4	20	89.87730025493948	403.8970443762715	0	19.999970818283895
background	wh_hbb	0	1225	2253.9640802900803	4147.231442901857	0	1224.998928847611
background	wh_hbb	1	3817	7023.110018618901	12922.220939886554	0	3816.996672869007
background	wh_hbb	2	3080	5667.061757532378	10427.148386483415	0	3079.997308306939
background	wh_hbb	3	383	704.7216177035134	1296.6918760535825	0	382.9996683330303
background	wh_hbb	ge4	28	51.52292361961935	94.80764728979298	0	27.999973991538187
background	ww	0	1399	312396.0967372867	69757948.01694876	0	1398.999311633721
background	ww	1	330	73689.59212874473	16455026.235421756	0	329.9998377645599
background	ww	2	35	7816.146766393549	1745490.8494201924	0	34.99998312457358
background	ww	3	3	669.7316178351202	149513.54543357663	0	2.9999986865893535
background	wwz_zbb	0	2001	1012.0379088713174	515.9746391524037	4	1985.0214550760204
background	wwz_zbb	1	4657	2362.717104358504	1200.784597736567	2	4648.987108721168
background	wwz_zbb	2	2858	1451.2472284470111	736.9242820473431	0	2857.984964512033
background	wwz_zbb	3	450	227.51566514945947	116.05950568494126	1	446.00722347482196
background	wwz_zbb	ge4	33	16.758371337649546	8.510443106745342	0	32.9998105113891
background	wz_zbb	0	1005	8230.418734217985	67402.94010425634	0	1004.9975926241348
background	wz_zbb	1	2318	18983.832517560382	155473.1571719347	0	2317.9943316918648
background	wz_zbb	2	1475	12079.62359897393	98927.22081134003	0	1474.9965186140294
background	wz_zbb	3	178	1458.0038907427079	11942.586194472124	0	177.99958156507455
background	wz_zbb	ge4	7	57.31782102316388	469.33439033061535	0	6.999982687245964
background	wzz_zbb	0	1186	303.58953325682126	77.7122407414747	0	1185.9985482815405
background	wzz_zbb	1	2732	697.3050009202188	179.02373011975078	4	2716.032472248787
background	wzz_zbb	2	1771	451.793826954445	116.03945965421552	3	1759.0366473817664
background	wzz_zbb	3	322	81.91835973580598	21.101840971378095	1	318.01100533868106
background	wzz_zbb	ge4	68	17.407425707058895	4.456160319308724	0	67.99990306313342
background	zbbbb	0	1802	6869.810883317782	26190.190662451598	0	1801.9838870517679
background	zbbbb	1	9756	37192.01661299371	141785.49030205823	0	9755.907299077982
background	zbbbb	2	20584	78472.79651777564	299166.20286041213	0	20583.808379563085
background	zbbbb	3	17262	65808.28548237837	250884.667321019	0	17261.83781725024
background	zbbbb	ge4	5544	21135.842918655064	80578.62959687426	0	5543.949532487338
