qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_sqrtB_10pct_syst,n_signal_test_rows,n_background_test_rows,neff_background_rows
0.525,0.5,103.94795419954778,1040622.2895393216,9.989018613618686e-05,0.1018988738577058,0.000998853869411,72,854,183.93822418441383
0.525,0.525,100.6510327733035,997598.1966925496,0.0001008933587761,0.1007721229347833,0.0010088830234284,70,817,172.33345445441122
0.525,0.55,100.30235477610844,954276.0576393777,0.0001051083216152,0.1026772232024989,0.0010510281481979,68,772,159.5312563210046
0.525,0.575,90.58592949597316,908261.2352872986,9.973554521163646e-05,0.0950507078710292,0.0009973005519916,63,722,147.43846162456416
0.525,0.6,80.69516521724034,882808.2118778384,9.140735680923505e-05,0.0858844092940765,0.0009140218017003,57,690,140.2125487567587
0.525,0.625,76.87522679520346,845829.0088789779,9.088743231577064e-05,0.0835882286695236,0.0009088206010855,52,647,131.02620260859632
0.525,0.65,70.45572294131244,813898.3111625919,8.656575640348952e-05,0.0780964336533327,0.0008656043892223,49,607,123.33778149781006
0.525,0.675,67.15880151506816,764617.217459382,8.783323208208526e-05,0.0768034803887667,0.0008782748903735,47,567,112.35423554843464
0.525,0.7,67.15880151506816,702084.9261506,9.56562361811231e-05,0.0801508464045547,0.0009564942461065,47,523,117.31901817257078
0.525,0.725,60.56495866257963,619661.5429024214,9.773877265143891e-05,0.0769385776146509,0.0009773088714154,43,471,123.03818597399892
0.525,0.75,50.84853338244433,580435.4351731362,8.760411632566314e-05,0.0667423466280967,0.0008759657088709,38,419,111.48080303355746
0.525,0.775,47.202933959005,517405.78600731335,9.123000792715876e-05,0.0656225878738805,0.0009122119310633,34,378,97.63713563555838
0.525,0.8,43.55733453556565,472529.95227303664,9.217899167246312e-05,0.0633645893021378,0.0009216923944795,30,334,84.93222945284712
0.525,0.825,40.43475210791891,421352.3382565609,9.596422859601704e-05,0.0622919721513744,0.0009595284297621,29,293,72.21101776956834
0.525,0.85,34.01524825402791,374496.28531979007,9.082933419481476e-05,0.0555840116524949,0.0009081720975573,26,252,58.84225227763868
0.525,0.875,21.52491854344097,335008.76016757905,6.425180802040435e-05,0.0371889087485504,0.000642422205954,22,217,48.36922959950832
0.525,0.9,21.00190154764837,276994.6472969649,7.582060430623525e-05,0.0399045970650344,0.0007580692171673,19,167,34.451015795251294
0.525,0.925,17.704980121404095,223489.4253146353,7.922066154350917e-05,0.0374513048882453,0.0007920294390743,17,123,23.33848398129799
0.525,0.95,10.58812027312295,113946.39255755862,9.292194369185044e-05,0.0313666816195413,0.0009288119609787,10,68,12.36295277346956
0.55,0.5,91.10894649176576,839126.5890427702,0.0001085759260658,0.0994597317421683,0.0010856945706434,66,732,185.75504147324352
0.55,0.525,87.8120250655215,800282.6510469372,0.0001097262635278,0.0981594896240361,0.0010971940870089,64,700,173.82978751579932
0.55,0.55,87.4633470683264,759831.3184905368,0.0001151088997516,0.1003384754201288,0.0011510132586416,62,661,159.44416235154037
0.55,0.575,81.0438432144354,725880.3271322658,0.0001116490421149,0.0951234327818829,0.0011164135231383,59,618,149.32057602262233
0.55,0.6,74.27566136334931,702639.6054808691,0.0001057094715184,0.0886094854369815,0.0010570195001041,54,589,141.26099702008707
0.55,0.625,70.45572294131244,670352.8880351887,0.0001051024381319,0.0860527062995883,0.0010509459967238,49,553,132.05013658877158
0.55,0.65,64.03621908742141,642602.3451697419,9.965139338311376e-05,0.0798830298564588,0.0009964364055081,46,518,124.38441340953966
0.55,0.675,60.739297661177154,596975.0883586652,0.0001017451127285,0.078612509739788,0.0010173659207717,44,481,112.83151699338224
0.55,0.7,60.739297661177154,576195.7197786395,0.0001054143506732,0.0800174582407043,0.001054052044207,44,443,105.96567530691183
0.55,0.725,54.14545480868861,534480.0449602691,0.0001013049136618,0.074062140291626,0.0010129543803209,40,405,95.85241250952024
0.55,0.75,44.42902952855333,504736.4921448857,8.802420712588358e-05,0.0625366300469043,0.0008801548860335,35,362,87.95078034958719
0.55,0.775,43.906012532760734,445849.57720157335,9.847718777337846e-05,0.0657551567602799,0.0009846614586258,32,326,75.79882863114146
0.55,0.8,40.26041310932138,408135.2432150966,9.864478448900632e-05,0.0630196776777489,0.0009863270189351,28,287,66.06048028760442
0.55,0.825,37.13783068167464,357409.10590056895,0.0001039084625113,0.0621203258775953,0.0010389392921301,27,248,54.32862723082287
0.55,0.85,30.71832682778364,323030.94003112544,9.509407001330522e-05,0.0540474858069535,0.0009507935439548,24,216,45.428422322941934
0.55,0.875,18.2279971171967,289127.68423549435,6.304480031165057e-05,0.033899563984438,0.0006303390055099,20,186,37.27185376351648
0.55,0.9,17.704980121404095,239975.0421685028,7.377842279520145e-05,0.0361420186068458,0.000737630554945,17,142,26.60494091100379
0.55,0.925,14.408058695159829,193363.43789692048,7.451283888963836e-05,0.0327656124048505,0.0007449357879817,15,102,17.894193229686945
0.55,0.95,7.291198846878679,101675.53352699116,7.171045574049661e-05,0.0228660270314773,0.0007167521736995,8,60,10.042825246667736
0.575,0.5,83.99208664348461,718079.6175242472,0.0001169676517668,0.099117895163741,0.0011695950814092,59,622,143.31111872527347
0.575,0.525,80.69516521724034,683133.965085736,0.0001181249496313,0.0976325372341758,0.0011811630476899,57,594,133.4192556816468
0.575,0.55,80.34648722004525,651774.564741582,0.0001232734315919,0.0995217925681297,0.0012326397592622,55,562,123.15607540482742
0.575,0.575,73.92698336615425,625620.1444979546,0.0001181659254682,0.0934647013932766,0.0011815648269669,52,527,116.17234656675669
0.575,0.6,67.15880151506816,606583.0110693612,0.0001107165883143,0.0862298868086435,0.0011070746319063,47,503,110.11079608423891
0.575,0.625,63.338863093031286,576960.072083693,0.0001097803230374,0.0833868146122325,0.0010977081058932,42,472,102.33594856916152
0.575,0.65,56.91935923914027,551614.8717565052,0.0001031867742395,0.0766376217772409,0.0010317742235733,39,441,95.90309648326756
0.575,0.675,53.622437812896,515018.6931573822,0.0001041174592793,0.0747196894094281,0.0010410735262677,37,411,87.64441070711177
0.575,0.7,53.622437812896,496451.6263354203,0.0001080114052777,0.0761041054253172,0.0010800052857948,37,376,82.04387094611452
0.575,0.725,47.02859496040747,459391.0164418013,0.0001023716034428,0.0693858247321688,0.0010236046316264,33,345,73.8552293768907
