seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
21,loose_best_sqrtB,0.8,0.5,106.82947195312501,233825.97230522803,0.0004568759872991083,0.22092492043956105,0.0045687598729910826,152,213,78.15390045365115,107.03249672205499
21,nominal_balanced,0.825,0.525,88.51994015625003,178425.6025954245,0.0004961168064931058,0.209561995651119,0.004961168064931058,126,165,64.7619194151285,79.89640999264311
21,higher_purity,0.875,0.75,33.00840773437499,39158.95725669154,0.0008429337767602192,0.1668049813296292,0.008429337767602192,59,30,24.83222989995949,16.42505593332714
21,intermediate,0.85,0.75,42.1631736328125,53587.402751034046,0.0007868112927342594,0.182138576781011,0.007868112927342592,72,53,31.52397556480195,26.149177675040004
22,loose_best_sqrtB,0.8,0.5,89.88348786171504,280129.03992611147,0.00032086458399822903,0.16982469767692523,0.00320864583998229,140,257,69.58639946084817,136.0763951416454
22,nominal_balanced,0.825,0.525,79.42483510429311,208804.2660131767,0.0003803793697360616,0.1738147540295749,0.003803793697360616,122,187,61.38448927052959,98.61204088248347
22,higher_purity,0.875,0.75,24.34196844553582,55921.84184901701,0.00043528552781320275,0.10293544862110131,0.004352855278132028,47,48,19.42104059824729,24.510760021782666
22,intermediate,0.85,0.75,33.12554992053858,77439.4752868776,0.0004277605161685777,0.11903697884429683,0.004277605161685777,60,77,26.172823362177574,37.40045484668943
23,loose_best_sqrtB,0.8,0.5,77.05692701719576,261525.8275130021,0.00029464366005443486,0.15067957727872092,0.0029464366005443484,137,226,61.55828295078855,97.51489209009237
23,nominal_balanced,0.825,0.525,64.67973568121695,201942.92222847947,0.0003202872126810065,0.14393085929807137,0.003202872126810065,109,163,51.281411658731415,68.79766939672963
23,higher_purity,0.875,0.75,33.50981490575396,46772.37901456367,0.0007164445258454761,0.15494490456714788,0.007164445258454761,53,42,26.34650351938251,19.579112302270417
