sample_class	process_or_mode	campaign	members	generated_events	campaign_sumw	campaign_sumw2	process_effective_reference_factor_pb	process_denominator_sumw	campaign_sumw_fraction_of_process	cross_section_coefficient_pb_per_generator_weight	run2_luminosity_pb_inverse	run2_yield_coefficient_per_generator_weight	analytical_campaign_run2_yield_contribution	analytical_campaign_physical_weight_sum_squared	coefficient_construction_authorized	candidate_physical_weight_application_authorized	selected_physical_yield_calculation_authorized
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	9130.300283432007	8336.238326563858	0.7996352	54805.500507354736	0.16659459723767595	0.000014590418709755079	138000.0	2.0134777819462009	18383.656763187447	33795.883598668751	True	False	False
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	45675.20022392273	41724.52692139444	0.7996352	54805.500507354736	0.83340540276232407	0.000014590418709755079	138000.0	2.0134777819462009	91966.000836812555	169155.10327380576	True	False	False
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	646639.0228271484	41814202.58428494	64.70650100708008	2587468.032836914	0.24991188861884020	0.000025007652340398394	138000.0	3.4510560229749783	2231587.4944182850	497998274.52440797	True	False	False
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	30000	1940829.0100097656	125560621.39308429	64.70650100708008	2587468.032836914	0.75008811138115980	0.000025007652340398394	138000.0	3.4510560229749783	6697909.6445587661	1495400340.9709587	True	False	False
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	5200	495.21063286066055	47.59866040979362	0.09537744522094727	2477.0847733467817	0.19991670781278227	0.000038503908403620395	138000.0	5.3135393596996145	2631.3211890468752	1343.8863235001488	True	False	False
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	20800	1981.8741404861212	189.96938497875948	0.09537744522094727	2477.0847733467817	0.80008329218721775	0.000038503908403620395	138000.0	5.3135393596996145	10530.766251443848	5363.5387248032931	True	False	False
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	35566.10107421875	126494.75456215441	3.559330105781555	213782.60135650635	0.16636574187301756	0.000016649297385272129	138000.0	2.2976030391675538	81716.781919465398	667763.24472734669	True	False	False
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	178216.5002822876	635225.6324771099	3.559330105781555	213782.60135650635	0.83363425812698244	0.000016649297385272129	138000.0	2.2976030391675538	409470.77267838919	3353343.2350230053	True	False	False
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	3300	100.86702873557806	3.0980808166724527	0.03051775554195046	502.87738835439086	0.20057976570721137	0.000060686275121290200	138000.0	8.3747059667380475	844.73170739898368	217.28606682472323	True	False	False
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	13200	402.0103596188128	12.332860608401818	0.03051775554195046	502.87738835439086	0.79942023429278863	0.000060686275121290200	138000.0	8.3747059667380475	3366.7185573901798	864.97381213426041	True	False	False
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	68993.02005767822	476003.681667919	6.909267425537109	1727662.8112792969	0.039934308713047069	0.0000039991990221870586	138000.0	0.55188946506181409	38076.520932631043	144982.14463330902	True	False	False
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	9	90000	621061.7017745972	4285794.233383851	6.909267425537109	1727662.8112792969	0.35948085339332764	0.0000039991990221870586	138000.0	0.55188946506181409	342757.41036276237	1305375.7005319756	True	False	False
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	15	150000	1037608.0894470215	7177573.806186401	6.909267425537109	1727662.8112792969	0.60058483789362531	0.0000039991990221870586	138000.0	0.55188946506181409	572644.97342872764	2186159.6533002222	True	False	False
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	1500	15.810139574110508	0.1675326584033728	0.01052282797172666	78.76503587514162	0.20072535228921561	0.00013359770429619880	138000.0	18.436483192875434	291.48337253510315	56.945006066380485	True	False	False
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	6000	62.95489630103111	0.6667729344445799	0.01052282797172666	78.76503587514162	0.79927464771078436	0.00013359770429619880	138000.0	18.436483192875434	1160.6668875631759	226.63872918093988	True	False	False
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	20000	19.852150115184486	0.019705580544910214	0.0104368689152	99.21761008445174	0.20008696135985128	0.00010519169839221463	138000.0	14.516454378125619	288.18283145477684	4.1525066939161609	True	False	False
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	80000	79.36545996926725	0.07873673468846025	0.0104368689152	99.21761008445174	0.79991303864014868	0.00010519169839221463	138000.0	14.516454378125619	1152.1050788428231	16.591991142092064	True	False	False
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	10000	14.25917143933475	0.020332397013633985	0.001426874505	142.44402525946498	0.10010368222437796	0.000010017089185740968	138000.0	1.3823583076322536	19.711284099116951	0.038853472083610077	True	False	False
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	9	90000	128.18485382013023	0.18257224036224087	0.001426874505	142.44402525946498	0.89989631777562204	0.000010017089185740968	138000.0	1.3823583076322536	177.19739759088305	0.34887993970410133	True	False	False
