process,analysis_use,format,detector_version,path,filename,size_GB,n_entries_or_rows
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_diagnostic.csv,3.4136e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_diagnostic.csv,3.4133e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_diagnostic.csv,3.4126e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_diagnostic.csv,3.4127e-05,
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_final_status.txt,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_final_status.txt,4.8e-08,
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_metadata.json,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_metadata.json,3.77e-07,
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_8_1000_diagnostic.csv,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_8_1000_diagnostic.csv,3.415e-05,
