seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
3,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,1,1347.0124337377954,0.20133253020004596
3,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,3,1896.3889434321827,0.28344562727244577
3,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,1,114.49530495851415,0.017113152682160522
3,top_0.1pct_background_tail,ttbar_200k,1,3242.2877914486958,0.48461171429405847
3,top_0.2pct_background_tail,Zbbbb_100k,2,180.6026464513948,0.018182463148227808
3,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
3,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4041.037301213386,0.40683795754732077
3,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,3,1896.3889434321827,0.19092202000451933
3,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,572.4765247925709,0.05763499882083845
3,top_0.2pct_background_tail,ttbar_200k,1,3242.2877914486958,0.3264225604790939
3,top_0.5pct_background_tail,Zbbbb_100k,5,451.5066161284869,0.016594270837069523
3,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
3,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,11,14817.136771115747,0.5445758086960694
3,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,7,4424.907534675092,0.16262909874723158
3,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,9,1030.4577446266276,0.03787252343523568
3,top_0.5pct_background_tail,ttbar_200k,2,6484.575582897391,0.2383282982843937
3,top_1.0pct_background_tail,Zbbbb_100k,10,903.013232256974,0.015624597949071548
3,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
3,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,26,35022.32327718267,0.6059819512065218
3,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,11,6953.426125918004,0.1203132841303942
3,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,17,1946.420184294741,0.03367839111676339
3,top_1.0pct_background_tail,ttbar_200k,4,12969.15116579478,0.224401775597249
3,top_2.0pct_background_tail,Zbbbb_100k,24,2167.2317574167373,0.01767183450979104
3,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
3,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,54,72738.67142184095,0.5931187374999625
3,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,25,15803.241195268189,0.12886128221652413
3,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,24,2747.88731900434,0.02240656071359904
3,top_2.0pct_background_tail,ttbar_200k,9,29180.59012303826,0.23794158506012328
3,top_5.0pct_background_tail,Zbbbb_100k,69,6230.791302573119,0.018526484014271025
3,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,1,12984.97352901258,0.0386092059304952
3,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,158,212827.96453057163,0.6328175172609555
3,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,50,31606.482390536377,0.09397794956056295
3,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,40,4579.812198340567,0.013617502715245897
3,top_5.0pct_background_tail,ttbar_200k,21,68088.0436204226,0.20245134051846933
4,top_0.1pct_background_tail,Zbbbb_100k,0,0.0,0.0
4,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
4,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4055.1028678726734,0.8094145738809073
4,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,1,611.8690821757683,0.12213148927588487
4,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,3,342.94879851139,0.06845393684320758
4,top_0.1pct_background_tail,ttbar_200k,0,0.0,0.0
4,top_0.2pct_background_tail,Zbbbb_100k,0,0.0,0.0
4,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
