seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
7,top_0.5pct_background_tail,ttbar_200k,4,13221.469281860827,0.367966484104485
7,top_1.0pct_background_tail,Zbbbb_100k,11,973.5634789859156,0.013739989651884832
7,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,31,42255.71858211581,0.596358787673493
7,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,11,6755.304609462619,0.09533822645650934
7,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,9,1039.4111689480278,0.014669304070727193
7,top_1.0pct_background_tail,ttbar_200k,6,19832.203922791243,0.27989369214738546
7,top_2.0pct_background_tail,Zbbbb_100k,20,1770.1154163380288,0.012394211196762995
7,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,65,88600.7002528235,0.6203752484040749
7,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,23,14124.727819785476,0.09890025140698723
7,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,17,1963.3322080129415,0.013747100223476331
7,top_2.0pct_background_tail,ttbar_200k,11,36359.04052511728,0.2545831887686987
7,top_5.0pct_background_tail,Zbbbb_100k,68,6018.392415549297,0.017932136881837316
7,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,154,209915.50521438185,0.6254549908375774
7,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,53,32548.285845592618,0.09697943848665846
7,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,39,4504.115065441455,0.013420262805789495
7,top_5.0pct_background_tail,ttbar_200k,25,82634.18301163016,0.24621317098813733
8,top_0.1pct_background_tail,Zbbbb_100k,1,91.93327485025819,0.02064756701912109
8,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4022.8972857037966,0.9035144397162328
8,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,3,337.6686014596365,0.07583799326464603
8,top_0.2pct_background_tail,Zbbbb_100k,3,275.7998245507746,0.0310432430174799
8,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,6,8045.794571407592,0.9056117296512071
8,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,562.7810024327275,0.06334502733131286
8,top_0.5pct_background_tail,Zbbbb_100k,8,735.4661988020655,0.028874421177631657
8,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,13,17432.55490471645,0.684402537248946
8,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,5,3157.6608588654967,0.12396984351355946
8,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,7,787.8934034058186,0.03093271452865219
8,top_0.5pct_background_tail,ttbar_200k,1,3357.62609233027,0.13182048353121065
8,top_1.0pct_background_tail,Zbbbb_100k,15,1378.9991227538726,0.025945142609413212
8,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,30,40228.97285703797,0.7568869483554805
