variant	category	feature_order	feature	feature_origin	explicit_dijet_mass_plane_feature	mhh_retained	training_in_this_gate	status
high_mhh_cms_inspired_mass_aware	high_mhh	12	abs_h2_eta	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	13	abs_h_delta_eta	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	14	abs_h_delta_phi	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	15	h_delta_r	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	16	h_pt_balance	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	17	drbb1	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	18	drbb2	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	19	j1_pt	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	20	abs_j1_eta	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	21	j1_mass	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	22	j2_pt	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	23	abs_j2_eta	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	24	j2_mass	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	25	j3_pt	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	26	abs_j3_eta	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	27	j3_mass	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	28	j4_pt	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	29	abs_j4_eta	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	30	j4_mass	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	31	mbb1	frozen_bdt_v1	true	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	32	mbb2	frozen_bdt_v1	true	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	33	delta_mbb	frozen_bdt_v1	true	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	34	r_hh_125_125	frozen_bdt_v1	true	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	35	dr_j1_j2	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	36	dr_j1_j3	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	37	dr_j1_j4	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	38	dr_j2_j3	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	39	dr_j2_j4	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	40	dr_j3_j4	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	41	min_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	42	max_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	43	mean_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	44	min_cross_higgs_pair_dr	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	45	max_cross_higgs_pair_dr	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	46	candidate_vector_pt_sum	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	47	cos_theta_star_h1_in_hh_rest	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	48	abs_cos_theta_star_h1_in_hh_rest	cms_inspired_derived	false	false	false	pass
