variable	category	bin_low	bin_high	central_value	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind	variant
mhh	0	200.0	260.0	0.06220253251178659	0.06211849636431371	0.04229961033170195	0.08415886046074968	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	260.0	320.0	0.19823868882274642	0.19780505287843675	0.15544740302244694	0.23969351269337139	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	320.0	380.0	0.20101418461549203	0.19824144763527912	0.16769473458667244	0.23195699182324583	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	380.0	440.0	0.131275272505342	0.12744404394260117	0.10416922393209367	0.15258772773930562	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	440.0	500.0	0.11228295078939307	0.11019969515282049	0.08873597281164432	0.13644126085003844	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	500.0	560.0	0.08684230227010695	0.08571115224715667	0.06661221987043398	0.10755227661228751	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	560.0	620.0	0.05134219594539571	0.05075910628934158	0.03791457895667771	0.06462378375264285	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	620.0	680.0	0.03923682744381681	0.03939779558285675	0.027860541464731606	0.050492500250908776	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	680.0	740.0	0.02495910929172206	0.025323589230180736	0.01767678322067886	0.0340019899491256	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	740.0	800.0	0.010290164453603288	0.00994908569829005	0.006040966824300183	0.014729723705063622	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	800.0	860.0	0.01562661077515312	0.014995073875738875	0.00867748200983455	0.02243487994135218	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	860.0	920.0	0.01910963899133481	0.01864720049741579	0.011981378368054992	0.02655750077377906	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	920.0	980.0	0.012711928008299041	0.011877102807401339	0.007307593118258411	0.018205950458429543	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	980.0	1040.0	0.010822507839688161	0.01040613507611816	0.00550310110078215	0.016529807745527453	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	1040.0	1100.0	0.004886397230502687	0.004671409557172879	0.002459113864470658	0.007304459133383603	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	1100.0	1160.0	0.0057631482045564005	0.005063061218621873	0.0017418975484689487	0.009767996240601007	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	1160.0	1220.0	0.0005613183134288041	0.0005175606752759159	0.00027931878192706777	0.0008566131133359602	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	1220.0	1280.0	0.00605524867342843	0.005301137322925657	0.0018944344023335991	0.009501138191508636	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	1280.0	1340.0	0.0012190749035264413	0.0011576368177734432	0.000562296381522524	0.0018798160865034317	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	0	1340.0	1400.0	0.005559898410677231	0.005151246430748126	0.001578887611924945	0.009859109927969253	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mhh	5	200.0	260.0	0.018671424684391806	0.019097944494853816	0.014034146101078454	0.026096267643225812	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
