group_level	dataset_split	family	members	generated_events	candidate_input	all_jets_pt_gt40	all_jets_pt_gt40_eta_lt2p4	reference_rhh_lt55	sr_rhh_lt30	cr_rhh_30to55	sr_mhh_lt450	sr_mhh_ge450	cr_mhh_lt450	cr_mhh_ge450	pt_efficiency_from_input	eta_efficiency_after_pt	reference_efficiency_from_input	sr_efficiency_from_input	cr_efficiency_from_input	sr_fraction_of_reference	cr_fraction_of_reference
family_split	train	wzz_zbb	4	13200	68	40	38	24	5	19	3	2	9	10	0.5882352941176471	0.95	0.35294117647058826	0.07352941176470588	0.27941176470588236	0.20833333333333334	0.7916666666666666
family_split	train	zbbbb	20	200000	5845	2321	2219	1116	488	628	455	33	498	130	0.39709153122326774	0.9560534252477381	0.19093242087254064	0.0834901625320787	0.10744225834046194	0.43727598566308246	0.5627240143369175
family_split	train	zzz_zbb	4	6000	58	26	24	12	4	8	4	0	4	4	0.4482758620689655	0.9230769230769231	0.20689655172413793	0.06896551724137931	0.13793103448275862	0.3333333333333333	0.6666666666666666
family_split	validation	bbh_hbb_4fs	1	10000	344	138	136	75	38	37	33	5	29	8	0.4011627906976744	0.9855072463768116	0.2180232558139535	0.11046511627906977	0.10755813953488372	0.5066666666666667	0.49333333333333335
family_split	validation	ggh_hbb	2	20000	5	1	1	0	0	0	0	0	0	0	0.2	1.0	0.0	0.0	0.0		
family_split	validation	qcd_bbbb_general	3	30000	1104	422	402	198	86	112	71	15	79	33	0.3822463768115942	0.95260663507109	0.1793478260869565	0.07789855072463768	0.10144927536231885	0.43434343434343436	0.5656565656565656
family_split	validation	qcd_bbbb_iht400to600	3	30000	4605	3074	2918	725	258	467	112	146	152	315	0.6675352877307275	0.9492517891997397	0.15743756786102062	0.056026058631921824	0.1014115092290988	0.35586206896551725	0.6441379310344828
family_split	validation	qcd_hardqcd	56	514084	6	2	2	0	0	0	0	0	0	0	0.3333333333333333	1.0	0.0	0.0	0.0		
family_split	validation	schannel_single_top	1	10000	9	5	5	5	3	2	2	1	2	0	0.5555555555555556	1.0	0.5555555555555556	0.3333333333333333	0.2222222222222222	0.6	0.4
family_split	validation	tchannel_antitop	2	20000	12	6	6	3	3	0	3	0	0	0	0.5	1.0	0.25	0.25	0.0	1.0	0.0
family_split	validation	tchannel_top	2	20000	5	3	3	2	1	1	0	1	1	0	0.6	1.0	0.4	0.2	0.2	0.5	0.5
family_split	validation	ttbar_inclusive	15	150000	492	227	220	130	61	69	46	15	47	22	0.4613821138211382	0.9691629955947136	0.26422764227642276	0.12398373983739837	0.1402439024390244	0.46923076923076923	0.5307692307692308
family_split	validation	tth_hbb	1	10000	1204	735	716	392	204	188	155	49	132	56	0.6104651162790697	0.9741496598639455	0.32558139534883723	0.16943521594684385	0.15614617940199335	0.5204081632653061	0.47959183673469385
family_split	validation	ttw	1	10000	51	31	30	15	9	6	6	3	6	0	0.6078431372549019	0.967741935483871	0.29411764705882354	0.17647058823529413	0.11764705882352941	0.6	0.4
family_split	validation	ttz_zbb	1	10000	1104	670	653	326	136	190	117	19	120	70	0.6068840579710145	0.9746268656716418	0.29528985507246375	0.12318840579710146	0.1721014492753623	0.4171779141104294	0.5828220858895705
family_split	validation	tw_antitop	2	20000	34	16	16	7	3	4	3	0	1	3	0.47058823529411764	1.0	0.20588235294117646	0.08823529411764706	0.11764705882352941	0.42857142857142855	0.5714285714285714
family_split	validation	tw_top	2	20000	32	19	19	7	3	4	2	1	4	0	0.59375	1.0	0.21875	0.09375	0.125	0.42857142857142855	0.5714285714285714
family_split	validation	vbf_hbb	1	10000	6	3	3	2	1	1	1	0	0	1	0.5	1.0	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.5	0.5
family_split	validation	wh_hbb	1	10000	5	2	2	1	1	0	1	0	0	0	0.4	1.0	0.2	0.2	0.0	1.0	0.0
family_split	validation	ww	1	10000	0	0	0	0	0	0	0	0	0	0							
family_split	validation	wwz_zbb	1	5200	14	6	6	2	0	2	0	0	1	1	0.42857142857142855	1.0	0.14285714285714285	0.0	0.14285714285714285	0.0	1.0
family_split	validation	wz_zbb	1	10000	0	0	0	0	0	0	0	0	0	0							
family_split	validation	wzz_zbb	1	3300	13	6	5	4	1	3	1	0	1	2	0.46153846153846156	0.8333333333333334	0.3076923076923077	0.07692307692307693	0.23076923076923078	0.25	0.75
family_split	validation	zbbbb	5	50000	1439	589	570	294	138	156	122	16	125	31	0.40931202223766505	0.967741935483871	0.20430854760250175	0.09589993050729674	0.10840861709520501	0.46938775510204084	0.5306122448979592
family_split	validation	zzz_zbb	1	1500	15	9	8	2	0	2	0	0	1	1	0.6	0.8888888888888888	0.13333333333333333	0.0	0.13333333333333333	0.0	1.0
split_total	train	__all_background__	370	3571373	47351	27657	26562	9879	4225	5654	3009	1216	3098	2556	0.5840848134147114	0.9604078533463499	0.20863339739393044	0.08922726024793563	0.11940613714599481	0.42767486587711306	0.5723251341228869
split_total	validation	__all_background__	104	974084	10499	5964	5721	2190	946	1244	675	271	701	543	0.5680541003905134	0.9592555331991952	0.20859129440899132	0.09010381941137251	0.11848747499761882	0.4319634703196347	0.5680365296803653
development_total	train_validation	__all_background__	474	4545457	57850	33621	32283	12069	5171	6898	3684	1487	3799	3099	0.5811754537597235	0.960203444275899	0.2086257562662057	0.08938634399308557	0.11923941227312014	0.42845306156268126	0.5715469384373187
