threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_test_rows,n_background_test_rows
0.6900000000000001,133.79458796907213,794015.0882678287,0.00016850383569026332,0.15014959629445232,91,342
0.7000000000000001,133.44590996907212,729894.3120931161,0.00018282908601711064,0.15619793133190685,89,313
0.7100000000000001,132.9228929690722,698928.2062660204,0.00019018103973683406,0.15899501246795783,86,295
0.72,126.67772802061856,671244.0476740889,0.00018872082137572232,0.15461799663060408,84,281
0.73,120.43256307216494,624762.6176550419,0.000192765315447636,0.15236541934039097,82,264
0.74,114.01305912371141,588493.4249590962,0.00019373718428822886,0.1486222360439891,79,248
0.75,114.01305912371141,526617.1824446283,0.0002165008338589473,0.15711117837726563,79,227
0.76,107.59355517525773,500308.64591894596,0.00021505435904997083,0.15211332303951133,76,210
0.77,107.24487717525774,477756.823145147,0.00022447586717704656,0.15515761922706803,74,199
0.78,106.89619917525773,437637.17698130186,0.0002442575832167588,0.16158653181996865,72,181
0.79,103.59927770103093,398686.12485003157,0.00025985172606646516,0.1640745291928395,70,159
0.8,96.30807875257732,355202.42658887187,0.00027113575680621366,0.16159382357977817,62,139
0.81,92.83681827835052,314622.86392470775,0.0002950733367571381,0.1655103312283223,59,120
0.8200000000000001,83.29473185567011,289191.5151292277,0.0002880261954381654,0.1548904926599138,55,109
0.8300000000000001,79.9978103814433,277452.9266805797,0.0002883293081047277,0.15187400474463938,53,102
0.8400000000000001,79.3004543814433,243470.76936019046,0.00032570831640214794,0.1607134639241692,49,90
0.85,75.3061769072165,213878.15574792097,0.00035209849572470197,0.16283485992811617,43,78
0.86,74.9574989072165,186435.13976742115,0.0004020567099138413,0.1736005915715895,41,73
0.87,65.06673448453607,148193.85047951774,0.0004390650102821177,0.16902226612336213,35,58
0.88,61.59547401030928,118315.46268908212,0.000520603753815123,0.1790721502294225,32,50
0.89,48.75646611340206,94044.28823484569,0.0005184415452392845,0.1589886084983417,26,40
0.9,35.74311921649484,82841.46386253601,0.0004314641189321041,0.12418483579177493,19,35
0.91,32.27185874226804,75784.91073549149,0.000425834884927225,0.11722833810091045,16,30
