target_epsilon_sm,model_label,actual_epsilon_sm,n_qcd_pass,r_qcd_central,s_450,b_qcd_450_central_diagnostic,s_over_b_450_central_diagnostic,s_over_sqrt_b_450_central_diagnostic,z_a_450_central_diagnostic,z_a_450_using_b_qcd_95up_mcstat,support_label,primary_inference
0.04,Step2j BDT-KF,0.040004486705184111,1469,59648.268209666443,48.067363738156345,10740.281398189396,0.0044754287114171492,0.46381252651893357,0.46346721007591002,0.45361092524496244,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.04,SPA-Net 2M primary checkpoint,0.040000550998882257,50,1752466.1200000001,48.062634792931483,365.56437706567039,0.13147515952928165,2.5137705895324394,2.4615024034335486,2.1972625248474187,LIMITED,CENTRAL_WITH_B95_CROSSCHECK
0.04,SPA-Net 10M primary checkpoint,0.040024165236693374,17,5154312.1176470593,48.091008464280677,124.29188820232793,0.38691992824178495,4.3136260320146613,4.0725721308581857,3.3849667527661715,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.03,Step2j BDT-K,0.030001889139024889,228239,383.91031331192301,36.048749449157931,1668720.9571418308,2.1602622832101229e-05,0.027906048411035837,0.027905947938001687,0.027857936932324388,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.03,Step2j BDT-KF,0.030003856992175816,402,217968.42288557213,36.051113921770373,2939.1375916079896,0.012265881673830371,0.66498022344594143,0.66362769627753759,0.63690688720991506,FINITE_SUPPORT_CAUTION,CENTRAL_WITH_B95_CROSSCHECK
0.03,SPA-Net 2M primary checkpoint,0.030005824845326743,9,9735922.8888888881,36.053478394382807,65.801587871820672,0.54791198146485154,4.4445621590620705,4.110402483096629,3.2081816849332037,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.03,SPA-Net 10M primary checkpoint,0.03001172840477952,11,7965755.0909090908,36.060571812220097,80.424162954447482,0.44837982128138437,4.021048712023739,3.7658151348090625,2.9982146639981311,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.02,Step2j BDT-K,0.020001259426016594,138161,634.21157924450461,24.032499632771959,1010134.7979954017,2.3791378814455376e-05,0.023911635297936804,0.02391154048390013,0.0238586739990315,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.02,Step2j BDT-KF,0.020001259426016594,3,29207768.666666668,24.032499632771959,21.933862623940222,1.095680229461323,5.1314651623259362,4.4669921404379025,2.9988205971024016,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.02,SPA-Net 2M primary checkpoint,0.020020937957525856,5,17524661.199999999,24.05614435889629,36.556437706567039,0.65805493828450412,3.9787265037266155,3.6310649410779683,2.616716863578247,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.02,SPA-Net 10M primary checkpoint,0.020056359314242534,7,12517615.142857144,24.098704865920091,51.179012789193855,0.47087084241313049,3.3685868641436576,3.1456482377518373,2.364651394745604,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.015,Step2j BDT-K,0.015000944569512445,97450,899.16168291431507,18.024374724578966,712484.97090099158,2.5297901655084416e-05,0.021353661493448563,0.021353571460691622,0.02129736552525022,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.015,Step2j BDT-KF,0.015002912422663372,0,UNDEFINED,18.026739197191404,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,3.4499437761191611,ZERO_OBSERVED_MC,B95_MCSTAT_PRIMARY
0.015,SPA-Net 2M primary checkpoint,0.015036365926229121,4,21905826.5,18.066935231602766,29.24515016525363,0.61777543043934235,3.3408544849219517,3.0635400298248618,2.1188627361422094,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.015,SPA-Net 10M primary checkpoint,0.015174115646793974,4,21905826.5,18.232448314473096,29.24515016525363,0.62343493575680786,3.3714604022030064,3.0895139848941544,2.137524815243169,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.01,Step2j BDT-K,0.010000629713008297,59025,1484.5117492587885,12.016249816385979,431548.74712602387,2.7844478512358907e-05,0.018291697838404616,0.018291612952217071,0.018229765147188968,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.01,Step2j BDT-KF,0.010010468978762928,0,UNDEFINED,12.028072179448145,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,2.3764901281199267,ZERO_OBSERVED_MC,B95_MCSTAT_PRIMARY
0.01,SPA-Net 2M primary checkpoint,0.010000629713008297,2,43811653,12.016249816385979,14.622575082626815,0.82176017209599228,3.1423678201416485,2.8148895431115788,1.7013985525757362,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
0.01,SPA-Net 10M primary checkpoint,0.010335164748665795,2,43811653,12.418210160499639,14.622575082626815,0.84924919792368181,3.247484413889008,2.9003158997416358,1.756132004205301,EXTREMELY_LIMITED,B95_MCSTAT_PRIMARY
