sample_class	process_or_mode	campaign	source_type	representative_locator	representative_exists	representative_size_bytes	metadata_access_method	event_payload_opened	bundle_downloaded	bundle_content_indexed	status	diagnostic
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	True	909282663	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz	True	1012172139	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz	True	1012173681	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_bundle.tar.gz	True	1164973491	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	True	1165198481	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_bundle.tar.gz	True	900359881	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_bundle.tar.gz	True	896621135	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_bundle.tar.gz	True	995033631	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz	True	998430208	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_bundle.tar.gz	True	848633845	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
