member_index	sample_class	stratum	candidate_rows	fold	weight_eligibility	candidate_bearing_members_in_stratum	hierarchical_stratum_fraction	hierarchical_member_fraction	per_row_raw_weight	per_row_training_weight	aggregate_raw_weight	aggregate_training_weight	status
128	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
129	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
130	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
131	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
132	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
133	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
134	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
135	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
136	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
137	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
138	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
139	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
140	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
141	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
142	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
143	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
144	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
145	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
146	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
147	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
148	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
149	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
150	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
151	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
152	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
153	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
154	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
155	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
156	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
157	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
158	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
159	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
160	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
161	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
162	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
163	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
164	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
165	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
166	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
167	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
168	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
169	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
170	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
171	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
172	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
173	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
174	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
175	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
176	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
177	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
178	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
179	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
180	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
181	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
182	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
183	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
184	background	qcd_multijet	1	0	candidate_bearing_member	48	0.0625	0.0013020833333333333	0.0013020833333333333	74.64322916666666	0.0013020833333333333	74.64322916666666	pass
185	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
186	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
187	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
188	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
189	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
190	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
191	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
192	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
193	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
194	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
195	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
196	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
197	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
198	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
199	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
200	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
201	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
202	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
203	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
204	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
205	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
206	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
207	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
208	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
209	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
210	background	qcd_multijet	1	0	candidate_bearing_member	48	0.0625	0.0013020833333333333	0.0013020833333333333	74.64322916666666	0.0013020833333333333	74.64322916666666	pass
211	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
212	background	qcd_multijet	1	2	candidate_bearing_member	48	0.0625	0.0013020833333333333	0.0013020833333333333	74.64322916666666	0.0013020833333333333	74.64322916666666	pass
213	background	qcd_multijet	0	1	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
214	background	qcd_multijet	0	2	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
215	background	qcd_multijet	0	0	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
216	background	qcd_multijet	0	4	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
217	background	qcd_multijet	1	1	candidate_bearing_member	48	0.0625	0.0013020833333333333	0.0013020833333333333	74.64322916666666	0.0013020833333333333	74.64322916666666	pass
218	background	qcd_multijet	0	3	no_candidate_rows_not_row_weightable	48	0.0625	0.0	0.0	0.0	0.0	0.0	pass
219	background	qcd_multijet	1	0	candidate_bearing_member	48	0.0625	0.0013020833333333333	0.0013020833333333333	74.64322916666666	0.0013020833333333333	74.64322916666666	pass
