seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
22,v2_single_seed_best,0.7,0.5,134.3586610313431,541385.7461412089,0.00024817546821097596,0.18260482909729794,0.00248175468210976,195,531,103.14788753342046,248.45313448573955
22,v2_single_seed_next,0.725,0.5,123.04466101589227,451870.5532204567,0.0002723006846517431,0.18304410790126271,0.002723006846517431,183,443,94.73016452645884,200.78184474127076
22,v2_loose_mid,0.775,0.5,100.34214061913697,328343.89004637254,0.0003056007547603992,0.17511320312153042,0.003056007547603992,158,314,77.78863175838983,164.7177544294748
22,v2_loose_best_sqrtB,0.8,0.5,89.88348786171504,280129.03992611147,0.00032086458399822903,0.16982469767692523,0.00320864583998229,140,257,69.58639946084817,136.0763951416454
22,v2_nominal_balanced,0.825,0.525,79.42483510429311,208804.2660131767,0.0003803793697360616,0.1738147540295749,0.003803793697360616,122,187,61.38448927052959,98.61204088248347
22,v2_multiseed_median_best,0.825,0.55,79.35031473843947,191338.43202944094,0.00041471184799000526,0.1814042878869372,0.004147118479900052,121,180,61.27266631900079,95.71678016005151
22,v2_tighter_qcd,0.85,0.55,60.55520270113675,128545.32700209905,0.00047108054499832525,0.16889753666331417,0.004710805449983252,96,122,46.98450622574385,61.96400760900272
22,v2_higher_purity,0.875,0.75,24.34196844553582,55921.84184901701,0.00043528552781320275,0.10293544862110131,0.004352855278132028,47,48,19.42104059824729,24.510760021782666
23,v2_single_seed_best,0.7,0.5,108.83099208002645,517173.24786303093,0.00021043430326243295,0.15133332082433043,0.0021043430326243293,184,474,86.32515146803738,190.0655642166671
23,v2_single_seed_next,0.725,0.5,105.81213461640213,435725.82774023234,0.0002428410892353262,0.16029826581894782,0.002428410892353262,178,404,83.87284282668989,169.82409580534218
23,v2_loose_mid,0.775,0.5,85.66085718584655,319490.7612263727,0.0002681168521338,0.15154906591514242,0.0026811685213379995,149,276,68.21671370656485,108.57659177552587
23,v2_loose_best_sqrtB,0.8,0.5,77.05692701719576,261525.8275130021,0.00029464366005443486,0.15067957727872092,0.0029464366005443484,137,226,61.55828295078855,97.51489209009237
23,v2_nominal_balanced,0.825,0.525,64.67973568121695,201942.92222847947,0.0003202872126810065,0.14393085929807137,0.003202872126810065,109,163,51.281411658731415,68.79766939672963
23,v2_multiseed_median_best,0.825,0.55,64.37797419973546,198349.2442579589,0.00032456878996730664,0.1445513098749182,0.003245687899673066,105,157,50.818205041181564,66.81631378867124
23,v2_tighter_qcd,0.85,0.55,54.038294188161366,133072.65377872533,0.0004060811342803521,0.14813484329658544,0.004060811342803521,87,108,42.58391774096544,55.106024920791434
23,v2_higher_purity,0.875,0.75,33.50981490575396,46772.37901456367,0.0007164445258454761,0.15494490456714788,0.007164445258454761,53,42,26.34650351938251,19.579112302270417
24,v2_single_seed_best,0.7,0.5,133.64582148706663,477510.950713208,0.000279880118534358,0.1934032273759201,0.00279880118534358,196,451,110.11974495110462,209.19104571035643
24,v2_single_seed_next,0.725,0.5,129.31550969620255,402840.08370702504,0.00032100953933434864,0.2037437414900504,0.0032100953933434863,187,382,106.3679462442635,170.34327001668643
24,v2_loose_mid,0.775,0.5,111.02905161695105,265772.1428353014,0.0004177603056229847,0.21536836011013227,0.0041776030562298465,154,258,90.87475399512624,127.59679370391311
24,v2_loose_best_sqrtB,0.8,0.5,97.39172289378097,218967.1247410239,0.00044477783141632694,0.2081289967942856,0.0044477783141632695,134,206,79.63861343430344,102.2963781113659
24,v2_nominal_balanced,0.825,0.525,75.16471676004406,149513.52366083715,0.000502728548693367,0.19438994050548233,0.00502728548693367,112,145,62.056210389753254,71.12929413711818
24,v2_multiseed_median_best,0.825,0.55,75.08501236873973,143185.69507700636,0.0005243890622478624,0.1984282218458669,0.0052438906224786235,111,138,61.92899312321668,68.40445143563467
24,v2_tighter_qcd,0.85,0.55,65.29976908860762,111013.94495178777,0.0005882123107774131,0.1959850200113299,0.00588212310777413,94,102,53.68241182637375,50.063451017279625
24,v2_higher_purity,0.875,0.75,34.173026199229504,38011.605294199835,0.0008990156015442984,0.17527716253148723,0.008990156015442985,51,37,28.218940208732587,17.304270575525504
25,v2_single_seed_best,0.7,0.5,122.91590305329221,479268.6399131845,0.0002564655661083049,0.17754913872017547,0.0025646556610830493,192,437,98.21484838818625,214.4181444939245
25,v2_single_seed_next,0.725,0.5,116.01222506221099,407895.8725369968,0.000284416275998695,0.181647364479963,0.0028441627599869496,184,364,92.88084763928889,171.88308734013975
25,v2_loose_mid,0.775,0.5,96.97348010129927,277912.4184037199,0.00034893539719562695,0.18394966647588437,0.003489353971956269,149,242,77.32423209037378,128.84027737576397
25,v2_loose_best_sqrtB,0.8,0.5,86.5566418008148,221891.1798548178,0.00039008599556525115,0.1837512824163567,0.003900859955652511,128,182,68.6945288711182,99.66878699812068
25,v2_nominal_balanced,0.825,0.525,75.11190156738606,161384.24638840315,0.0004654227611945121,0.18697269486762824,0.004654227611945121,110,137,59.54229132803787,72.0966493410159
